country,mw,layer,mechanism,cfe_pct_mean,cfe_lift_pp_mean,cfe_abs_pct_mean,cfe_abs_lift_pp_mean,ci_weighted_mean_g,ci_weighted_lift_g_mean,co2_avoided_t_y_mean,delta_facility_pp_mean,jain_mean,p95_mean
CH,1.0000,fsla,M0,40.9496,-3.5314,100.0000,0.0000,32.9833,0.4436,-1.0794,-45.2700,0.3538,11280.6333
CH,1.0000,fsla,M1,40.9496,-3.5314,100.0000,0.0000,32.9833,0.4436,-1.0794,-45.2700,0.3538,11280.6333
CH,1.0000,fsla,M2,40.9496,-3.5314,100.0000,0.0000,32.9833,0.4436,-1.0794,-45.2700,0.3538,11280.6333
CH,1.0000,fsla,M3,40.9496,-3.5314,100.0000,0.0000,32.9833,0.4436,-1.0794,-45.2700,0.3538,11280.6333
CH,1.0000,fsla,none,44.4810,0.0000,100.0000,0.0000,33.4269,0.0000,0.0000,0.0000,0.9845,1260.6500
CH,1.0000,pue,GridPilot-PUE,44.6621,11.4554,100.0000,-0.0000,33.7258,-0.5555,70.3037,96.5243,0.8543,2640.6333
CH,1.0000,pue,none,33.2067,0.0000,100.0000,0.0000,33.1703,0.0000,0.0000,0.0000,0.3650,11280.6333
CH,10.0000,fsla,M0,41.2568,-3.8328,100.0000,-0.0000,32.5774,0.6208,-10.7779,-47.7705,0.3437,11280.6333
CH,10.0000,fsla,M1,41.2568,-3.8328,100.0000,-0.0000,32.5774,0.6208,-10.7779,-47.7705,0.3437,11280.6333
CH,10.0000,fsla,M2,41.2568,-3.8328,100.0000,-0.0000,32.5774,0.6208,-10.7779,-47.7705,0.3437,11280.6333
CH,10.0000,fsla,M3,41.2568,-3.8328,100.0000,-0.0000,32.5774,0.6208,-10.7779,-47.7705,0.3437,11280.6333
CH,10.0000,fsla,none,45.0896,0.0000,100.0000,0.0000,33.1982,0.0000,0.0000,0.0000,0.9809,1260.6500
CH,10.0000,pue,GridPilot-PUE,44.6969,11.4892,100.0000,0.0000,33.4763,-0.6886,703.6356,96.6905,0.7245,2640.6333
CH,10.0000,pue,none,33.2077,0.0000,100.0000,0.0000,32.7877,0.0000,0.0000,0.0000,0.3529,11280.6333
CH,50.0000,fsla,M0,41.2875,-3.8336,100.0000,0.0000,32.5472,0.6353,-53.8729,-48.0001,0.3396,11280.6333
CH,50.0000,fsla,M1,41.2875,-3.8336,100.0000,0.0000,32.5472,0.6353,-53.8729,-48.0001,0.3396,11280.6333
CH,50.0000,fsla,M2,41.2875,-3.8336,100.0000,0.0000,32.5472,0.6353,-53.8729,-48.0001,0.3396,11280.6333
CH,50.0000,fsla,M3,41.2875,-3.8336,100.0000,0.0000,32.5472,0.6353,-53.8729,-48.0001,0.3396,11280.6333
CH,50.0000,fsla,none,45.1211,0.0000,100.0000,0.0000,33.1825,0.0000,0.0000,0.0000,0.9802,1260.6500
CH,50.0000,pue,GridPilot-PUE,44.7067,11.5001,100.0000,0.0000,33.4595,-0.7034,3518.7153,96.7057,0.8255,2640.6333
CH,50.0000,pue,none,33.2065,0.0000,100.0000,0.0000,32.7561,0.0000,0.0000,0.0000,0.3501,11280.6333
DE,1.0000,fsla,M0,60.2169,-5.7080,0.0000,0.0000,343.7662,5.5937,-10.3622,-51.5668,0.3616,11280.6333
DE,1.0000,fsla,M1,60.2169,-5.7080,0.0000,0.0000,343.7662,5.5937,-10.3622,-51.5668,0.3616,11280.6333
DE,1.0000,fsla,M2,60.2169,-5.7080,0.0000,0.0000,343.7662,5.5937,-10.3622,-51.5668,0.3616,11280.6333
DE,1.0000,fsla,M3,60.2169,-5.7080,0.0000,0.0000,343.7662,5.5937,-10.3622,-51.5668,0.3616,11280.6333
DE,1.0000,fsla,none,65.9249,0.0000,0.0000,0.0000,349.3599,0.0000,0.0000,0.0000,0.9845,1260.6500
DE,1.0000,pue,GridPilot-PUE,66.1449,21.4832,0.0000,0.0000,357.8035,-14.0913,693.0584,97.0173,0.8524,2640.6333
DE,1.0000,pue,none,44.6617,0.0000,0.0000,0.0000,343.7122,0.0000,0.0000,0.0000,0.3650,11280.6333
DE,10.0000,fsla,M0,60.3747,-6.4590,0.0000,0.0000,333.3117,9.4878,-104.2495,-55.2170,0.3493,11280.6333
DE,10.0000,fsla,M1,60.3747,-6.4590,0.0000,0.0000,333.3117,9.4878,-104.2495,-55.2170,0.3493,11280.6333
DE,10.0000,fsla,M2,60.3747,-6.4590,0.0000,0.0000,333.3117,9.4878,-104.2495,-55.2170,0.3493,11280.6333
DE,10.0000,fsla,M3,60.3747,-6.4590,0.0000,0.0000,333.3117,9.4878,-104.2495,-55.2170,0.3493,11280.6333
DE,10.0000,fsla,none,66.8337,0.0000,0.0000,0.0000,342.7994,0.0000,0.0000,0.0000,0.9809,1260.6500
DE,10.0000,pue,GridPilot-PUE,66.1499,21.4868,0.0000,0.0000,350.8045,-17.5611,6934.6593,97.1595,0.8259,2640.6333
DE,10.0000,pue,none,44.6631,0.0000,0.0000,0.0000,333.2434,0.0000,0.0000,0.0000,0.3529,11280.6333
DE,50.0000,fsla,M0,60.3839,-6.4967,0.0000,0.0000,332.4900,9.8586,-521.2560,-55.5040,0.3501,11280.6333
DE,50.0000,fsla,M1,60.3839,-6.4967,0.0000,0.0000,332.4900,9.8586,-521.2560,-55.5040,0.3501,11280.6333
DE,50.0000,fsla,M2,60.3839,-6.4967,0.0000,0.0000,332.4900,9.8586,-521.2560,-55.5040,0.3501,11280.6333
DE,50.0000,fsla,M3,60.3839,-6.4967,0.0000,0.0000,332.4900,9.8586,-521.2560,-55.5040,0.3501,11280.6333
DE,50.0000,fsla,none,66.8805,0.0000,0.0000,0.0000,342.3487,0.0000,0.0000,0.0000,0.9802,1260.6500
DE,50.0000,pue,GridPilot-PUE,66.1601,21.4985,0.0000,0.0000,350.2452,-17.8651,34678.1404,97.1728,0.8246,2640.6333
DE,50.0000,pue,none,44.6616,0.0000,0.0000,0.0000,332.3801,0.0000,0.0000,0.0000,0.3501,11280.6333
FR,1.0000,fsla,M0,46.3873,-3.7030,100.0000,0.0000,59.0428,0.4956,-1.8898,-45.7163,0.3618,11280.6333
FR,1.0000,fsla,M1,46.3873,-3.7030,100.0000,0.0000,59.0428,0.4956,-1.8898,-45.7163,0.3618,11280.6333
FR,1.0000,fsla,M2,46.3873,-3.7030,100.0000,0.0000,59.0428,0.4956,-1.8898,-45.7163,0.3618,11280.6333
FR,1.0000,fsla,M3,46.3873,-3.7030,100.0000,0.0000,59.0428,0.4956,-1.8898,-45.7163,0.3618,11280.6333
FR,1.0000,fsla,none,50.0903,0.0000,100.0000,0.0000,59.5384,0.0000,0.0000,0.0000,0.9845,1260.6500
FR,1.0000,pue,GridPilot-PUE,50.2978,14.4835,100.0000,-0.0000,60.1947,-1.1565,124.5782,96.5974,0.8533,2640.6333
FR,1.0000,pue,none,35.8143,0.0000,100.0000,0.0000,59.0383,0.0000,0.0000,0.0000,0.3650,11280.6333
FR,10.0000,fsla,M0,46.5294,-4.2478,100.0000,-0.0000,58.2158,0.8174,-18.9322,-48.4556,0.3496,11280.6333
FR,10.0000,fsla,M1,46.5294,-4.2478,100.0000,-0.0000,58.2158,0.8174,-18.9322,-48.4556,0.3496,11280.6333
FR,10.0000,fsla,M2,46.5294,-4.2478,100.0000,-0.0000,58.2158,0.8174,-18.9322,-48.4556,0.3496,11280.6333
FR,10.0000,fsla,M3,46.5294,-4.2478,100.0000,-0.0000,58.2158,0.8174,-18.9322,-48.4556,0.3496,11280.6333
FR,10.0000,fsla,none,50.7772,0.0000,100.0000,0.0000,59.0333,0.0000,0.0000,0.0000,0.9809,1260.6500
FR,10.0000,pue,GridPilot-PUE,50.3183,14.5028,100.0000,0.0000,59.6450,-1.4346,1246.7915,96.7599,0.6895,2640.6333
FR,10.0000,pue,none,35.8154,0.0000,100.0000,0.0000,58.2104,0.0000,0.0000,0.0000,0.3529,11280.6333
FR,50.0000,fsla,M0,46.5391,-4.2736,100.0000,0.0000,58.1504,0.8481,-94.6587,-48.6857,0.3501,11280.6333
FR,50.0000,fsla,M1,46.5391,-4.2736,100.0000,0.0000,58.1504,0.8481,-94.6587,-48.6857,0.3501,11280.6333
FR,50.0000,fsla,M2,46.5391,-4.2736,100.0000,0.0000,58.1504,0.8481,-94.6587,-48.6857,0.3501,11280.6333
FR,50.0000,fsla,M3,46.5391,-4.2736,100.0000,0.0000,58.1504,0.8481,-94.6587,-48.6857,0.3501,11280.6333
FR,50.0000,fsla,none,50.8127,0.0000,100.0000,0.0000,58.9986,0.0000,0.0000,0.0000,0.9802,1260.6500
FR,50.0000,pue,GridPilot-PUE,50.3322,14.5181,100.0000,0.0000,59.6085,-1.4664,6234.9005,96.7749,0.8253,2640.6333
FR,50.0000,pue,none,35.8142,0.0000,100.0000,0.0000,58.1421,0.0000,0.0000,0.0000,0.3501,11280.6333
IT,1.0000,fsla,M0,54.9775,-4.8889,0.0000,0.0000,293.9698,3.7154,-9.1172,-48.3703,0.3616,11280.6333
IT,1.0000,fsla,M1,54.9775,-4.8889,0.0000,0.0000,293.9698,3.7154,-9.1172,-48.3703,0.3616,11280.6333
IT,1.0000,fsla,M2,54.9775,-4.8889,0.0000,0.0000,293.9698,3.7154,-9.1172,-48.3703,0.3616,11280.6333
IT,1.0000,fsla,M3,54.9775,-4.8889,0.0000,0.0000,293.9698,3.7154,-9.1172,-48.3703,0.3616,11280.6333
IT,1.0000,fsla,none,59.8665,0.0000,0.0000,0.0000,297.6852,0.0000,0.0000,0.0000,0.9845,1260.6500
IT,1.0000,pue,GridPilot-PUE,60.0989,18.6735,0.0000,0.0000,302.9723,-9.0385,605.4748,96.8032,0.8525,2640.6333
IT,1.0000,pue,none,41.4254,0.0000,0.0000,0.0000,293.9338,0.0000,0.0000,0.0000,0.3650,11280.6333
IT,10.0000,fsla,M0,55.1310,-5.5594,0.0000,0.0000,287.3722,6.2147,-91.5295,-51.5190,0.3496,11280.6333
IT,10.0000,fsla,M1,55.1310,-5.5594,0.0000,0.0000,287.3722,6.2147,-91.5295,-51.5190,0.3496,11280.6333
IT,10.0000,fsla,M2,55.1310,-5.5594,0.0000,0.0000,287.3722,6.2147,-91.5295,-51.5190,0.3496,11280.6333
IT,10.0000,fsla,M3,55.1310,-5.5594,0.0000,0.0000,287.3722,6.2147,-91.5295,-51.5190,0.3496,11280.6333
IT,10.0000,fsla,none,60.6904,0.0000,0.0000,0.0000,293.5869,0.0000,0.0000,0.0000,0.9809,1260.6500
IT,10.0000,pue,GridPilot-PUE,60.1170,18.6903,0.0000,0.0000,298.5867,-11.2585,6059.0019,96.9558,0.7235,2640.6333
IT,10.0000,pue,none,41.4267,0.0000,0.0000,0.0000,287.3283,0.0000,0.0000,0.0000,0.3529,11280.6333
IT,50.0000,fsla,M0,55.1409,-5.5920,0.0000,0.0000,286.8511,6.4542,-457.6412,-51.7751,0.3500,11280.6333
IT,50.0000,fsla,M1,55.1409,-5.5920,0.0000,0.0000,286.8511,6.4542,-457.6412,-51.7751,0.3500,11280.6333
IT,50.0000,fsla,M2,55.1409,-5.5920,0.0000,0.0000,286.8511,6.4542,-457.6412,-51.7751,0.3500,11280.6333
IT,50.0000,fsla,M3,55.1409,-5.5920,0.0000,0.0000,286.8511,6.4542,-457.6412,-51.7751,0.3500,11280.6333
IT,50.0000,fsla,none,60.7330,0.0000,0.0000,0.0000,293.3053,0.0000,0.0000,0.0000,0.9802,1260.6500
IT,50.0000,pue,GridPilot-PUE,60.1297,18.7045,0.0000,0.0000,298.2437,-11.4604,30299.4299,96.9700,0.7219,2640.6333
IT,50.0000,pue,none,41.4252,0.0000,0.0000,0.0000,286.7833,0.0000,0.0000,0.0000,0.3501,11280.6333
PL,1.0000,fsla,M0,55.4051,-4.5409,0.0000,0.0000,700.8575,10.8706,-21.3302,-48.6945,0.3616,11280.6333
PL,1.0000,fsla,M1,55.4051,-4.5409,0.0000,0.0000,700.8575,10.8706,-21.3302,-48.6945,0.3616,11280.6333
