country,mw,nodes,layer,mechanism,seed,n_jobs,energy_kwh,co2_g_it,co2_g_facility,co2_tonnes_y,cfe_pct,cfe_abs_pct,ci_weighted_mean,p50_slowdown,p95_slowdown,p99_slowdown,avg_pue,jain_fairness,cfe_lift_pp_vs_none,cfe_abs_lift_pp_vs_none,ci_weighted_lift_g,co2_avoided_tonnes_y,delta_facility_pp
SE,1.0000,667,fsla,none,20260517,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,1.1681,0.9507,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,fsla,M0,20260517,1994,6378.2154,70829.1501,85712.7285,0.8618,44.4684,100.0000,11.3250,15.1422,170.7893,451.3987,1.2287,0.9377,0.6916,0.0000,0.0049,0.0020,-0.8496
SE,1.0000,667,fsla,M1,20260517,1994,6378.2154,70829.1501,85712.7285,0.8618,44.4684,100.0000,11.3250,15.1422,170.7893,451.3987,1.2287,0.9377,0.6916,0.0000,0.0049,0.0020,-0.8496
SE,1.0000,667,fsla,M2,20260517,1994,6378.2154,70829.1501,85712.7285,0.8618,44.4684,100.0000,11.3250,15.1422,170.7893,451.3987,1.2287,0.9377,0.6916,0.0000,0.0049,0.0020,-0.8496
SE,1.0000,667,fsla,M3,20260517,1994,6378.2154,70829.1501,85712.7285,0.8618,44.4684,100.0000,11.3250,15.1422,170.7893,451.3987,1.2287,0.9377,0.6916,0.0000,0.0049,0.0020,-0.8496
SE,1.0000,667,pue,none,20260517,1994,12196.5000,136201.1557,159942.4884,1.6571,43.0554,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.8248,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,pue,GridPilot-PUE,20260517,1994,6378.2154,70743.2296,86129.5182,0.8607,44.7735,100.0000,11.3261,14.2876,157.9583,411.2177,1.2178,0.9097,1.7181,0.0000,0.0014,0.7964,46.1497
SE,1.0000,667,fsla,none,20260518,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,1.1681,0.8974,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,fsla,M0,20260518,1994,6378.2154,70860.2414,85575.3459,0.8621,44.3579,100.0000,11.3274,15.4610,172.6894,457.1975,1.2173,0.9483,0.5812,0.0000,0.0024,0.0017,-0.6880
SE,1.0000,667,fsla,M1,20260518,1994,6378.2154,70860.2414,85575.3459,0.8621,44.3579,100.0000,11.3274,15.4610,172.6894,457.1975,1.2173,0.9483,0.5812,0.0000,0.0024,0.0017,-0.6880
SE,1.0000,667,fsla,M2,20260518,1994,6378.2154,70860.2414,85575.3459,0.8621,44.3579,100.0000,11.3274,15.4610,172.6894,457.1975,1.2173,0.9483,0.5812,0.0000,0.0024,0.0017,-0.6880
SE,1.0000,667,fsla,M3,20260518,1994,6378.2154,70860.2414,85575.3459,0.8621,44.3579,100.0000,11.3274,15.4610,172.6894,457.1975,1.2173,0.9483,0.5812,0.0000,0.0024,0.0017,-0.6880
SE,1.0000,667,pue,none,20260518,1994,12196.5000,136201.1557,159942.4884,1.6571,43.0554,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.9484,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,pue,GridPilot-PUE,20260518,1994,6378.2154,70546.3581,85850.2455,0.8583,45.4727,100.0000,11.3190,14.2629,154.6558,411.2177,1.1827,0.9526,2.4173,0.0000,0.0085,0.7988,46.3243
SE,1.0000,667,fsla,none,20260519,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,1.1681,0.8431,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,fsla,M0,20260519,1994,6378.2154,70765.0504,85363.1355,0.8610,44.6960,100.0000,11.3278,15.0185,170.2309,424.2234,1.1817,0.7261,0.9192,0.0000,0.0021,0.0028,-0.4383
SE,1.0000,667,fsla,M1,20260519,1994,6378.2154,70765.0504,85363.1355,0.8610,44.6960,100.0000,11.3278,15.0185,170.2309,424.2234,1.1817,0.7261,0.9192,0.0000,0.0021,0.0028,-0.4383
SE,1.0000,667,fsla,M2,20260519,1994,6378.2154,70765.0504,85363.1355,0.8610,44.6960,100.0000,11.3278,15.0185,170.2309,424.2234,1.1817,0.7261,0.9192,0.0000,0.0021,0.0028,-0.4383
SE,1.0000,667,fsla,M3,20260519,1994,6378.2154,70765.0504,85363.1355,0.8610,44.6960,100.0000,11.3278,15.0185,170.2309,424.2234,1.1817,0.7261,0.9192,0.0000,0.0021,0.0028,-0.4383
SE,1.0000,667,pue,none,20260519,1994,12196.5000,136201.1557,159942.4884,1.6571,43.0554,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.7260,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,pue,GridPilot-PUE,20260519,1994,6378.2154,70740.1674,81529.7938,0.8607,44.7844,100.0000,11.3296,14.2958,157.5217,411.2177,1.2079,0.7305,1.7290,0.0000,-0.0022,0.7964,49.0256
SE,1.0000,667,fsla,none,20260520,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,1.1681,0.8784,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,fsla,M0,20260520,1994,6378.2154,70860.7619,85668.5674,0.8621,44.3561,100.0000,11.3272,15.2482,171.5512,457.1975,1.2196,0.0205,0.5793,0.0000,0.0026,0.0017,-0.7977
SE,1.0000,667,fsla,M1,20260520,1994,6378.2154,70860.7619,85668.5674,0.8621,44.3561,100.0000,11.3272,15.2482,171.5512,457.1975,1.2196,0.0205,0.5793,0.0000,0.0026,0.0017,-0.7977
SE,1.0000,667,fsla,M2,20260520,1994,6378.2154,70860.7619,85668.5674,0.8621,44.3561,100.0000,11.3272,15.2482,171.5512,457.1975,1.2196,0.0205,0.5793,0.0000,0.0026,0.0017,-0.7977
SE,1.0000,667,fsla,M3,20260520,1994,6378.2154,70860.7619,85668.5674,0.8621,44.3561,100.0000,11.3272,15.2482,171.5512,457.1975,1.2196,0.0205,0.5793,0.0000,0.0026,0.0017,-0.7977
SE,1.0000,667,pue,none,20260520,1994,12196.5000,136201.1557,159942.4884,1.6571,43.0554,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.7624,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,pue,GridPilot-PUE,20260520,1994,6378.2154,70692.4108,85676.4602,0.8601,44.9540,100.0000,11.3176,14.3783,159.0564,411.2177,1.1955,0.8552,1.8986,0.0000,0.0099,0.7970,46.4330
SE,1.0000,667,fsla,none,20260521,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,1.1681,0.0205,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,fsla,M0,20260521,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.7025,0.5808,0.0000,0.0024,0.0017,-0.6881
SE,1.0000,667,fsla,M1,20260521,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.7025,0.5808,0.0000,0.0024,0.0017,-0.6881
SE,1.0000,667,fsla,M2,20260521,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.7025,0.5808,0.0000,0.0024,0.0017,-0.6881
SE,1.0000,667,fsla,M3,20260521,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.7025,0.5808,0.0000,0.0024,0.0017,-0.6881
SE,1.0000,667,pue,none,20260521,1994,12196.5000,136201.1557,159942.4884,1.6571,43.0554,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.7021,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,pue,GridPilot-PUE,20260521,1994,6378.2154,70628.0460,85699.3464,0.8593,45.1826,100.0000,11.3187,14.4720,159.8359,413.0286,1.1357,0.7193,2.1272,0.0000,0.0088,0.7978,46.4186
SE,1.0000,667,fsla,none,20260522,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,1.1681,0.9089,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,fsla,M0,20260522,1994,6378.2154,70703.4703,85915.8554,0.8602,44.9147,100.0000,11.3191,15.0728,169.8454,424.2234,1.1760,0.8223,1.1379,0.0000,0.0107,0.0036,-1.0886
SE,1.0000,667,fsla,M1,20260522,1994,6378.2154,70703.4703,85915.8554,0.8602,44.9147,100.0000,11.3191,15.0728,169.8454,424.2234,1.1760,0.8223,1.1379,0.0000,0.0107,0.0036,-1.0886
SE,1.0000,667,fsla,M2,20260522,1994,6378.2154,70703.4703,85915.8554,0.8602,44.9147,100.0000,11.3191,15.0728,169.8454,424.2234,1.1760,0.8223,1.1379,0.0000,0.0107,0.0036,-1.0886
SE,1.0000,667,fsla,M3,20260522,1994,6378.2154,70703.4703,85915.8554,0.8602,44.9147,100.0000,11.3191,15.0728,169.8454,424.2234,1.1760,0.8223,1.1379,0.0000,0.0107,0.0036,-1.0886
SE,1.0000,667,pue,none,20260522,1994,12196.5000,136201.1557,159942.4884,1.6571,43.0554,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.8893,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,pue,GridPilot-PUE,20260522,1994,6378.2154,70807.8035,85999.1967,0.8615,44.5442,100.0000,11.3262,14.6674,162.4053,421.0545,1.1822,0.8988,1.4888,0.0000,0.0013,0.7956,46.2312
SE,1.0000,667,fsla,none,20260523,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,1.1681,0.9278,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,fsla,M0,20260523,1994,6378.2154,70721.8601,85447.7805,0.8604,44.8494,100.0000,11.3217,15.1422,170.7893,424.2234,1.1862,0.9198,1.0726,0.0000,0.0081,0.0034,-0.5379
SE,1.0000,667,fsla,M1,20260523,1994,6378.2154,70721.8601,85447.7805,0.8604,44.8494,100.0000,11.3217,15.1422,170.7893,424.2234,1.1862,0.9198,1.0726,0.0000,0.0081,0.0034,-0.5379
SE,1.0000,667,fsla,M2,20260523,1994,6378.2154,70721.8601,85447.7805,0.8604,44.8494,100.0000,11.3217,15.1422,170.7893,424.2234,1.1862,0.9198,1.0726,0.0000,0.0081,0.0034,-0.5379
SE,1.0000,667,fsla,M3,20260523,1994,6378.2154,70721.8601,85447.7805,0.8604,44.8494,100.0000,11.3217,15.1422,170.7893,424.2234,1.1862,0.9198,1.0726,0.0000,0.0081,0.0034,-0.5379
SE,1.0000,667,pue,none,20260523,1994,12196.5000,136201.1557,159942.4884,1.6571,43.0554,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.9139,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,pue,GridPilot-PUE,20260523,1994,6378.2154,70752.6922,86120.8466,0.8608,44.7399,100.0000,11.3247,14.2958,159.0564,411.2177,1.2095,0.8961,1.6845,0.0000,0.0027,0.7963,46.1551
SE,1.0000,667,fsla,none,20260524,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,1.1681,0.6827,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,fsla,M0,20260524,1994,6378.2154,70864.1722,85675.3294,0.8622,44.3440,100.0000,11.3288,14.9772,170.2309,457.1975,1.2197,0.7115,0.5672,0.0000,0.0010,0.0016,-0.8056
SE,1.0000,667,fsla,M1,20260524,1994,6378.2154,70864.1722,85675.3294,0.8622,44.3440,100.0000,11.3288,14.9772,170.2309,457.1975,1.2197,0.7115,0.5672,0.0000,0.0010,0.0016,-0.8056
SE,1.0000,667,fsla,M2,20260524,1994,6378.2154,70864.1722,85675.3294,0.8622,44.3440,100.0000,11.3288,14.9772,170.2309,457.1975,1.2197,0.7115,0.5672,0.0000,0.0010,0.0016,-0.8056
SE,1.0000,667,fsla,M3,20260524,1994,6378.2154,70864.1722,85675.3294,0.8622,44.3440,100.0000,11.3288,14.9772,170.2309,457.1975,1.2197,0.7115,0.5672,0.0000,0.0010,0.0016,-0.8056
SE,1.0000,667,pue,none,20260524,1994,12196.5000,136201.1557,159942.4884,1.6571,43.0554,100.0000,11.3275,15.4610,172.6894,457.1975,1.2173,0.7062,0.0000,0.0000,0.0000,0.0000,0.0000
SE,1.0000,667,pue,GridPilot-PUE,20260524,1994,6378.2154,70779.6876,86013.0135,0.8612,44.6440,100.0000,11.3268,14.4173,161.7491,413.0286,1.1885,0.0201,1.5886,0.0000,0.0007,0.7960,46.2225
SE,10.0000,6667,fsla,none,20260517,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,2.0069,0.8622,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,fsla,M0,20260517,1994,60331.3467,668776.6064,1435214.9036,8.1368,44.9167,100.0000,11.3281,14.1547,157.1212,411.2177,2.0247,0.9438,0.4692,0.0000,-0.0049,0.0130,-0.7403
SE,10.0000,6667,fsla,M1,20260517,1994,60331.3467,668776.6064,1435214.9036,8.1368,44.9167,100.0000,11.3281,14.1547,157.1212,411.2177,2.0247,0.9438,0.4692,0.0000,-0.0049,0.0130,-0.7403
SE,10.0000,6667,fsla,M2,20260517,1994,60331.3467,668776.6064,1435214.9036,8.1368,44.9167,100.0000,11.3281,14.1547,157.1212,411.2177,2.0247,0.9438,0.4692,0.0000,-0.0049,0.0130,-0.7403
SE,10.0000,6667,fsla,M3,20260517,1994,60331.3467,668776.6064,1435214.9036,8.1368,44.9167,100.0000,11.3281,14.1547,157.1212,411.2177,2.0247,0.9438,0.4692,0.0000,-0.0049,0.0130,-0.7403
SE,10.0000,6667,pue,none,20260517,1994,115401.0000,1287740.1141,2756124.8903,15.6675,43.2457,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.9412,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,pue,GridPilot-PUE,20260517,1994,60331.3467,668808.0360,1425324.6241,8.1372,44.9049,100.0000,11.3475,13.3818,147.0844,377.5530,2.0413,0.9377,1.6592,0.0000,-0.0172,7.5303,48.2852
SE,10.0000,6667,fsla,none,20260518,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,2.0069,0.9237,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,fsla,M0,20260518,1994,60331.3467,669090.3834,1430727.4208,8.1406,44.7989,100.0000,11.3304,14.2801,159.1382,411.2177,2.0330,0.9436,0.3514,0.0000,-0.0072,0.0091,-0.4253
SE,10.0000,6667,fsla,M1,20260518,1994,60331.3467,669090.3834,1430727.4208,8.1406,44.7989,100.0000,11.3304,14.2801,159.1382,411.2177,2.0330,0.9436,0.3514,0.0000,-0.0072,0.0091,-0.4253
SE,10.0000,6667,fsla,M2,20260518,1994,60331.3467,669090.3834,1430727.4208,8.1406,44.7989,100.0000,11.3304,14.2801,159.1382,411.2177,2.0330,0.9436,0.3514,0.0000,-0.0072,0.0091,-0.4253
SE,10.0000,6667,fsla,M3,20260518,1994,60331.3467,669090.3834,1430727.4208,8.1406,44.7989,100.0000,11.3304,14.2801,159.1382,411.2177,2.0330,0.9436,0.3514,0.0000,-0.0072,0.0091,-0.4253
SE,10.0000,6667,pue,none,20260518,1994,115401.0000,1287740.1141,2756124.8903,15.6675,43.2457,100.0000,11.3303,14.2801,159.1382,411.2177,2.0330,0.9434,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,pue,GridPilot-PUE,20260518,1994,60331.3467,667348.2977,1440440.2219,8.1194,45.4530,100.0000,11.3431,13.3818,147.7009,377.2385,2.0992,0.9366,2.2073,0.0000,-0.0127,7.5481,47.7368
SE,10.0000,6667,fsla,none,20260519,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,2.0069,0.7309,0.0000,0.0000,0.0000,0.0000,0.0000
SE,10.0000,6667,fsla,M0,20260519,1994,60331.3467,668216.7609,1449185.6766,8.1300,45.1269,100.0000,11.3307,14.1467,152.9736,411.2177,2.0916,0.0201,0.6794,0.0000,-0.0075,0.0198,-1.7210
SE,10.0000,6667,fsla,M1,20260519,1994,60331.3467,668216.7609,1449185.6766,8.1300,45.1269,100.0000,11.3307,14.1467,152.9736,411.2177,2.0916,0.0201,0.6794,0.0000,-0.0075,0.0198,-1.7210
SE,10.0000,6667,fsla,M2,20260519,1994,60331.3467,668216.7609,1449185.6766,8.1300,45.1269,100.0000,11.3307,14.1467,152.9736,411.2177,2.0916,0.0201,0.6794,0.0000,-0.0075,0.0198,-1.7210
