hyper,value,cfe_pct_mean,cfe_pct_std,ci_weighted_mean,p95_slowdown_mean,co2_tonnes_y_mean
alpha_scale,0.5000,56.1913,9.0516,198.2412,150.8410,135.9792
alpha_scale,1.0000,56.1913,9.0516,198.2412,150.8410,135.9792
alpha_scale,2.0000,56.1913,9.0516,198.2412,150.8410,135.9792
alpha_scale,4.0000,56.1913,9.0516,198.2412,150.8410,135.9792
short_job_s,1.0000,56.1924,9.0500,198.2422,151.7076,135.9791
short_job_s,60.0000,56.1913,9.0516,198.2412,150.8410,135.9792
short_job_s,300.0000,56.2316,9.0103,198.2175,142.4700,135.9751
t4_envelope_scale,1.0000,56.1913,9.0516,198.2412,150.8410,135.9792
t4_envelope_scale,2.0000,56.1913,9.0516,198.2412,150.8410,135.9792
window_scale,0.5000,56.2210,9.0133,198.3187,154.5948,135.9761
window_scale,1.0000,56.1913,9.0516,198.2412,150.8410,135.9792
window_scale,2.0000,56.1913,9.0516,198.2412,150.8410,135.9792
