country,mw,hyper,value,seed,n_jobs,energy_kwh,co2_tonnes_y,cfe_pct,cfe_abs_pct,ci_weighted_mean,p95_slowdown
SE,10.0000,alpha_scale,0.5000,20260517,1994,60331.3467,8.1387,44.8582,100.0000,11.3331,152.4839
SE,10.0000,alpha_scale,0.5000,20260522,1994,60331.3467,8.1380,44.8800,100.0000,11.3314,154.4402
SE,10.0000,alpha_scale,0.5000,20260523,1994,60331.3467,8.1381,44.8775,100.0000,11.3343,152.4839
SE,10.0000,alpha_scale,0.5000,20260524,1994,60331.3467,8.1405,44.8015,100.0000,11.3335,157.5217
CH,10.0000,alpha_scale,0.5000,20260517,1994,60331.3467,21.8217,47.0502,100.0000,30.0432,115.1780
CH,10.0000,alpha_scale,0.5000,20260518,1994,60331.3467,21.9418,45.8771,100.0000,30.4114,168.5937
CH,10.0000,alpha_scale,0.5000,20260521,1994,60331.3467,21.9362,45.9321,100.0000,30.0317,142.8628
CH,10.0000,alpha_scale,0.5000,20260523,1994,60331.3467,21.7966,47.2959,100.0000,30.2578,132.7636
CH,10.0000,alpha_scale,0.5000,20260519,1994,60331.3467,22.0146,45.1654,100.0000,29.8095,126.5925
SE,10.0000,alpha_scale,0.5000,20260519,1994,60331.3467,8.1388,44.8551,100.0000,11.3346,151.9516
SE,10.0000,alpha_scale,0.5000,20260520,1994,60331.3467,8.1340,45.0019,100.0000,11.3322,152.9736
SE,10.0000,alpha_scale,0.5000,20260518,1994,60331.3467,8.1365,44.9256,100.0000,11.3283,157.1212
SE,10.0000,alpha_scale,0.5000,20260521,1994,60331.3467,8.1407,44.7957,100.0000,11.3310,159.1382
CH,10.0000,alpha_scale,0.5000,20260520,1994,60331.3467,21.8245,47.0235,100.0000,30.4805,106.4799
CH,10.0000,alpha_scale,0.5000,20260522,1994,60331.3467,21.9700,45.6011,100.0000,30.1490,130.3780
CH,10.0000,alpha_scale,0.5000,20260524,1994,60331.3467,21.9416,45.8787,100.0000,30.0681,135.0842
FR,10.0000,alpha_scale,0.5000,20260517,1994,60331.3467,37.8621,52.2213,100.0000,53.3498,152.4839
FR,10.0000,alpha_scale,0.5000,20260518,1994,60331.3467,37.8407,52.3280,100.0000,53.3133,154.4402
FR,10.0000,alpha_scale,0.5000,20260519,1994,60331.3467,37.8558,52.2525,100.0000,53.3598,151.9516
FR,10.0000,alpha_scale,0.5000,20260520,1994,60331.3467,37.8243,52.4102,100.0000,53.3418,152.4839
FR,10.0000,alpha_scale,0.5000,20260521,1994,60331.3467,37.8718,52.1726,100.0000,53.3335,159.1382
