policy,mechanism,seed,n_jobs,energy_kwh,co2_g_it,co2_g_facility,cfe_pct,p50_slowdown,p95_slowdown,p99_slowdown,avg_pue,swf_utilitarian,swf_nash,swf_alpha_0.5,swf_alpha_1.0,swf_alpha_2.0,jain_fairness,n_users,audit_n_over_declared,audit_n_under_declared,audit_total_penalty,audit_nom_ic_violation_rate
FCFS,none,20260517,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,none,20260518,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,none,20260519,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,none,20260520,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,none,20260521,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,none,20260523,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,none,20260522,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,none,20260524,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M0,20260517,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M0,20260519,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M0,20260518,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M0,20260520,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M0,20260521,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M0,20260524,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M0,20260522,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M0,20260523,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.1845,0.0000,0.8621,-996.4068,-48000000005.4198,0.9323,49,0,0,0.0000,0.0000
FCFS,M1,20260517,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,1733,142,5655.8223,0.0000
FCFS,M1,20260518,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,1734,113,4526.9839,0.0000
FCFS,M1,20260520,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,1732,174,6813.9957,0.0000
FCFS,M1,20260519,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,1730,204,7693.3896,0.0000
FCFS,M1,20260521,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,1730,153,5968.8527,0.0000
FCFS,M1,20260522,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,1731,180,6437.2187,0.0000
FCFS,M1,20260523,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.1845,0.0000,0.8621,-996.4068,-48000000005.4198,0.9323,49,1725,160,6281.5769,0.0000
FCFS,M1,20260524,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,1736,158,5386.6133,0.0000
FCFS,M2,20260517,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M2,20260518,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M2,20260520,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M2,20260519,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M2,20260521,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M2,20260522,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M2,20260523,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.1845,0.0000,0.8621,-996.4068,-48000000005.4198,0.9323,49,0,0,0.0000,0.0000
FCFS,M2,20260524,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M3,20260517,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M3,20260518,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M3,20260519,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M3,20260520,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M3,20260521,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M3,20260523,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.1845,0.0000,0.8621,-996.4068,-48000000005.4198,0.9323,49,0,0,0.0000,0.0000
FCFS,M3,20260522,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
FCFS,M3,20260524,1994,16881.0000,4263097.8275,5064760.8098,66.3077,14.1739,157.9583,411.2177,1.1823,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9323,49,0,0,0.0000,0.0000
EASY,none,20260517,1994,8824.0100,2171933.0546,2667653.7740,68.6972,13.9734,152.4839,411.2177,1.1548,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9382,49,0,0,0.0000,0.0000
EASY,none,20260518,1994,8824.0100,2136624.5243,2619180.1847,70.1914,13.8228,151.9516,411.2177,1.1873,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9296,49,0,0,0.0000,0.0000
EASY,none,20260519,1994,8826.3771,2170005.4420,2550984.2273,68.8034,13.8687,151.9516,411.2177,1.2088,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9497,49,0,0,0.0000,0.0000
EASY,none,20260520,1994,8824.0100,2162277.6150,2652054.4828,69.1058,14.2135,152.9736,411.2177,1.1958,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9506,49,0,0,0.0000,0.0000
EASY,none,20260521,1994,8824.0100,2146644.6936,2626923.3111,69.7674,14.2629,152.9736,411.2177,1.1609,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9464,49,0,0,0.0000,0.0000
EASY,none,20260522,1994,8824.0100,2174311.1358,2664395.0228,68.5966,14.2876,157.9583,411.2177,1.2362,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9476,49,0,0,0.0000,0.0000
EASY,none,20260523,1994,8824.0100,2167317.0509,2663447.5746,68.8926,14.2135,152.9736,411.2177,1.1572,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9483,49,0,0,0.0000,0.0000
EASY,none,20260524,1994,8824.0100,2171962.4912,2664879.9720,68.6960,14.1467,152.9736,411.2177,1.1997,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9490,49,0,0,0.0000,0.0000
EASY,M0,20260517,1994,8823.7767,2145468.0045,2616217.7070,69.8148,12.5446,74.8412,205.6273,1.1596,0.0765,0.0000,0.7724,-980.6545,-47000000059.7359,0.9378,49,0,0,0.0000,0.0000
EASY,M0,20260518,1994,8824.0100,2095566.4201,2574079.6983,71.9289,12.5769,88.1172,234.9815,1.1695,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9361,49,0,0,0.0000,0.0000
EASY,M0,20260519,1994,8826.3771,2094099.7331,2538181.9022,72.0147,12.5136,55.1353,137.9574,1.2391,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9232,49,0,0,0.0000,0.0000
EASY,M0,20260520,1994,8818.0100,2161246.4834,2623195.6600,69.0872,12.6192,61.5936,181.0000,1.2719,0.0530,0.0000,0.4636,-997.6538,-48000000018.8600,0.9209,49,0,0,0.0000,0.0000
EASY,M0,20260521,1994,8817.5258,2105929.1148,2569147.8114,71.4248,12.7334,73.4098,184.8060,1.1874,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9207,49,0,0,0.0000,0.0000
EASY,M0,20260522,1994,8819.2100,2148329.5996,2610443.4451,69.6466,12.1936,60.0164,149.7097,1.2018,0.3326,0.0000,1.1564,-995.8177,-48000000003.0070,0.9231,49,0,0,0.0000,0.0000
EASY,M0,20260524,1994,8818.0100,2183132.9141,2643132.8406,68.1604,12.1932,69.9441,186.6682,1.2225,0.4951,0.0000,1.4103,-995.4198,-48000000002.0199,0.9070,49,0,0,0.0000,0.0000
EASY,M0,20260523,1994,8819.2100,2124908.1681,2586790.9099,70.6383,10.8070,57.6929,145.2057,1.2101,0.3359,0.0000,1.6193,-977.6763,-47000000013.3544,0.9041,49,0,0,0.0000,0.0000
EASY,M1,20260517,1994,8823.7767,2145468.0045,2616217.7070,69.8148,12.5446,74.8412,205.6273,1.1596,0.0765,0.0000,0.7724,-980.6545,-47000000059.7359,0.9378,49,1790,111,1972.1065,0.0000
