country,bidding_zone,annual_ci,balancing_capacity_mw,cluster_mw,n_services_country,n_services_active,services_active,total_committed_mw,weighted_marginal_ci,exo_leverage_ratio
AT,10YAT-APG------L,170.0,1200.0,0.5,3,0,,0.0,0.0,0.0
AT,10YAT-APG------L,170.0,1200.0,1.0,3,0,,0.0,0.0,0.0
AT,10YAT-APG------L,170.0,1200.0,10.0,3,2,FCR+aFRR,9.5,350.0,2.0588235294117645
AT,10YAT-APG------L,170.0,1200.0,50.0,3,3,FCR+aFRR+mFRR,67.5,388.51851851851853,2.2854030501089326
BE,10YBE----------2,165.0,1100.0,0.5,3,0,,0.0,0.0,0.0
BE,10YBE----------2,165.0,1100.0,1.0,3,0,,0.0,0.0,0.0
BE,10YBE----------2,165.0,1100.0,10.0,3,2,FCR+aFRR,10.5,380.0,2.303030303030303
BE,10YBE----------2,165.0,1100.0,50.0,3,3,FCR+aFRR+mFRR,75.0,416.0,2.521212121212121
BG,10YCA-BULGARIA-R,370.0,550.0,0.5,3,0,,0.0,0.0,0.0
BG,10YCA-BULGARIA-R,370.0,550.0,1.0,3,0,,0.0,0.0,0.0
BG,10YCA-BULGARIA-R,370.0,550.0,10.0,3,2,FCR+aFRR,7.5,600.0,1.6216216216216217
BG,10YCA-BULGARIA-R,370.0,550.0,50.0,3,3,FCR+aFRR+mFRR,52.5,642.8571428571429,1.7374517374517375
CH,10YCH-SWISSGRIDZ,30.0,400.0,0.5,3,0,,0.0,0.0,0.0
CH,10YCH-SWISSGRIDZ,30.0,400.0,1.0,3,0,,0.0,0.0,0.0
CH,10YCH-SWISSGRIDZ,30.0,400.0,10.0,3,1,FCR,1.5,250.0,8.333333333333334
CH,10YCH-SWISSGRIDZ,30.0,400.0,50.0,3,2,FCR+aFRR,12.5,250.0,8.333333333333334
CZ,10YCZ-CEPS-----N,435.0,900.0,0.5,3,0,,0.0,0.0,0.0
CZ,10YCZ-CEPS-----N,435.0,900.0,1.0,3,0,,0.0,0.0,0.0
CZ,10YCZ-CEPS-----N,435.0,900.0,10.0,3,2,FCR+aFRR,8.5,700.0,1.6091954022988506
CZ,10YCZ-CEPS-----N,435.0,900.0,50.0,3,3,FCR+aFRR+mFRR,60.0,743.75,1.7097701149425288
DE,10Y1001A1001A82H,295.0,8000.0,0.5,3,0,,0.0,0.0,0.0
DE,10Y1001A1001A82H,295.0,8000.0,1.0,3,0,,0.0,0.0,0.0
DE,10Y1001A1001A82H,295.0,8000.0,10.0,3,3,FCR+aFRR+mFRR,20.5,590.2439024390244,2.0008267879288963
DE,10Y1001A1001A82H,295.0,8000.0,50.0,3,3,FCR+aFRR+mFRR,102.5,590.2439024390244,2.0008267879288963
DK,10YDK-1--------W,180.0,600.0,0.5,3,2,FCR+aFRR,0.625,450.0,2.5
DK,10YDK-1--------W,180.0,600.0,1.0,3,2,FCR+aFRR,1.25,450.0,2.5
DK,10YDK-1--------W,180.0,600.0,10.0,3,3,FCR+aFRR+mFRR,18.0,495.8333333333333,2.7546296296296293
DK,10YDK-1--------W,180.0,600.0,50.0,3,3,FCR+aFRR+mFRR,90.0,495.8333333333333,2.7546296296296293
EE,10Y1001A1001A39I,520.0,200.0,0.5,3,0,,0.0,0.0,0.0
EE,10Y1001A1001A39I,520.0,200.0,1.0,3,0,,0.0,0.0,0.0
EE,10Y1001A1001A39I,520.0,200.0,10.0,3,2,FCR+aFRR,7.5,700.0,1.3461538461538463
EE,10Y1001A1001A39I,520.0,200.0,50.0,3,3,FCR+aFRR+mFRR,52.5,742.8571428571429,1.4285714285714286
ES,10YES-REE------0,178.0,3000.0,0.5,4,0,,0.0,0.0,0.0
ES,10YES-REE------0,178.0,3000.0,1.0,4,0,,0.0,0.0,0.0
ES,10YES-REE------0,178.0,3000.0,10.0,4,2,FCR+aFRR,9.5,350.0,1.9662921348314606
ES,10YES-REE------0,178.0,3000.0,50.0,4,4,FCR+aFRR+mFRR+RR,77.5,400.3225806451613,2.2490032620514677
FI,10YFI-1--------U,80.0,550.0,0.5,3,0,,0.0,0.0,0.0
FI,10YFI-1--------U,80.0,550.0,1.0,3,2,FCR+aFRR,1.05,280.0,3.5
FI,10YFI-1--------U,80.0,550.0,10.0,3,2,FCR+aFRR,10.5,280.0,3.5
FI,10YFI-1--------U,80.0,550.0,50.0,3,3,FCR+aFRR+mFRR,75.0,322.0,4.025
FR,10YFR-RTE------C,58.0,4000.0,0.5,4,0,,0.0,0.0,0.0
FR,10YFR-RTE------C,58.0,4000.0,1.0,4,0,,0.0,0.0,0.0
FR,10YFR-RTE------C,58.0,4000.0,10.0,4,2,FCR+aFRR,8.5,380.0,6.551724137931035
FR,10YFR-RTE------C,58.0,4000.0,50.0,4,3,FCR+aFRR+mFRR,57.5,411.30434782608694,7.091454272863568
GB,10YGB----------A,185.0,2500.0,0.5,3,0,,0.0,0.0,0.0
GB,10YGB----------A,185.0,2500.0,1.0,3,0,,0.0,0.0,0.0
