country,bidding_zone,cluster_mw,services_enabled,n_services,total_committed_mw,weighted_marginal_ci,annual_ci,mean_ffr_quality,mean_cfe_score,mean_op_frac,mean_ffr_band,mean_exo_kg_per_mwh,data_source
CH,10YCH-SWISSGRIDZ,10.0,FCR,1,1.5,250.0,30.0,1.0,0.13627479192523054,0.4,0.2,0.05,synthesised
CH,10YCH-SWISSGRIDZ,50.0,FCR+aFRR,2,12.5,250.0,30.0,1.0,0.13627479192523054,0.4,0.2,0.05,synthesised
IT,10Y1001A1001A73I,10.0,FCR+aFRR,2,11.0,380.0,258.0,1.0,0.13627479192523054,0.4,0.2,0.07599999999999998,synthesised
IT,10Y1001A1001A73I,50.0,FCR+aFRR+mFRR+RR,4,85.0,415.29411764705884,258.0,1.0,0.13627479192523054,0.4,0.2,0.08305882352941175,synthesised
DE,10Y1001A1001A82H,10.0,FCR+aFRR+mFRR,3,20.5,590.2439024390244,295.0,1.0,0.13627479192523054,0.4,0.2,0.1180487804878049,synthesised
DE,10Y1001A1001A82H,50.0,FCR+aFRR+mFRR,3,102.5,590.2439024390244,295.0,1.0,0.13627479192523054,0.4,0.2,0.1180487804878049,synthesised
FR,10YFR-RTE------C,10.0,FCR+aFRR,2,8.5,380.0,58.0,1.0,0.13627479192523054,0.4,0.2,0.07599999999999998,synthesised
FR,10YFR-RTE------C,50.0,FCR+aFRR+mFRR,3,57.5,411.30434782608694,58.0,1.0,0.13627479192523054,0.4,0.2,0.08226086956521739,synthesised
ES,10YES-REE------0,10.0,FCR+aFRR,2,9.5,350.0,178.0,1.0,0.13627479192523054,0.4,0.2,0.06999999999999998,synthesised
ES,10YES-REE------0,50.0,FCR+aFRR+mFRR+RR,4,77.5,400.3225806451613,178.0,1.0,0.13627479192523054,0.4,0.2,0.08006451612903227,synthesised
DK,10YDK-1--------W,1.0,FCR+aFRR,2,1.25,450.0,180.0,1.0,0.13627479192523054,0.4,0.2,0.08999999999999998,synthesised
DK,10YDK-1--------W,10.0,FCR+aFRR+mFRR,3,18.0,495.8333333333333,180.0,1.0,0.13627479192523054,0.4,0.2,0.09916666666666668,synthesised
DK,10YDK-1--------W,50.0,FCR+aFRR+mFRR,3,90.0,495.8333333333333,180.0,1.0,0.13627479192523054,0.4,0.2,0.09916666666666668,synthesised
NL,10YNL----------L,10.0,FCR+aFRR,2,10.5,500.0,320.0,1.0,0.13627479192523054,0.4,0.2,0.1,synthesised
NL,10YNL----------L,50.0,FCR+aFRR+mFRR,3,75.0,545.0,320.0,1.0,0.13627479192523054,0.4,0.2,0.109,synthesised
