year,workload,country,scheduler,ci_mean_g_kwh,diurnal_amp_frac,co2_kg,co2_red_pct,facility_co2_kg,facility_co2_red_pct,p50_slow,p95_slow,p99_slow,ettr,jain,avg_pue
2025,M100,CH,FCFS,30.0,0.3,84.96176359163069,0.0,132.5596054232594,0.0,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2025,M100,CH,Threshold,30.0,0.3,80.17958212306041,5.628627827873089,106.55695396464877,19.615818390213846,10.039127514510447,68.81591324200868,203.2090097402597,0.31582250286753727,0.26225540317500784,1.32897866443235
2025,M100,CH,CarbonScaler,30.0,0.3,50.87851012950036,40.11599103092036,67.61645444021119,48.99165984666778,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2025,M100,CH,ProACT-OPT,30.0,0.3,57.38456846522539,32.45836004411971,76.26286715794198,42.46899957612531,2.038205638424955,13.281656025656094,33.939840909090854,0.7005491777867683,0.29866729124281977,1.32897866443235
2025,M100,CH,ProACT-OPT-PUE,30.0,0.3,57.3048417305418,32.5521984148329,96.40042846237371,27.277673953109904,2.038205638424955,13.281656025656094,33.939840909090854,0.7005491777867683,0.29866729124281977,1.3749877043608474
2025,M100,IT,FCFS,258.0,0.35,693.0753015127993,0.0,1105.8684153919642,0.0,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2025,M100,IT,Threshold,258.0,0.35,653.2645251249462,5.7440766250011706,868.1746161215844,21.49385912121665,7.78802126512182,53.322428398547785,160.29261363636363,0.3609246646486488,0.25295652752731884,1.32897866443235
2025,M100,IT,CarbonScaler,258.0,0.35,434.43221504554094,37.31817969890273,577.3511449376105,47.792057635268115,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2025,M100,IT,ProACT-OPT,258.0,0.35,466.80457220481486,32.64735142257928,620.3733169196694,43.901705819151715,2.038205638424955,13.281656025656094,33.939840909090854,0.7180074167039902,0.29797261850261636,1.32897866443235
2025,M100,IT,ProACT-OPT-PUE,258.0,0.35,466.7020892394591,32.66213812254277,793.976231327874,28.203372094097023,2.038205638424955,13.281656025656094,33.939840909090854,0.7180074167039902,0.2979726185026163,1.3441903282192014
2025,M100,DE,FCFS,295.0,0.4,863.6620916144058,0.0,1360.780418167016,0.0,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2025,M100,DE,Threshold,295.0,0.4,777.8190689466495,9.939422315884395,1033.7049474187324,24.03587429549121,12.741086538112357,92.30846153846112,244.17654220779212,0.24767722827648178,0.28041885768421926,1.32897866443235
2025,M100,DE,CarbonScaler,295.0,0.4,517.9682130504494,40.02651985312517,688.3687039981972,49.41368241281453,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2025,M100,DE,ProACT-OPT,295.0,0.4,578.2074840789295,33.051654148891544,768.4254099560051,43.53053588241068,2.038205638424955,13.281656025656094,33.939840909090854,0.7056968506106709,0.29848381690868664,1.32897866443235
2025,M100,DE,ProACT-OPT-PUE,295.0,0.4,578.8079622189704,32.98212717232616,979.5689908570996,28.01417644026739,2.038205638424955,13.281656025656094,33.939840909090854,0.6954760600438387,0.2989036862483343,1.3371342394810004
2025,Philly,CH,FCFS,30.0,0.3,17.4198136082886,0.0,58.920616456437294,0.0,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2025,Philly,CH,Threshold,30.0,0.3,17.4198136082886,0.0,25.728048287312262,56.33438712180789,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2025,Philly,CH,CarbonScaler,30.0,0.3,11.807088952432709,32.22034851845531,17.438381462143777,70.4035997738809,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2025,Philly,CH,ProACT-OPT,30.0,0.3,13.135977805053635,24.591743055141848,19.40107275939361,67.07252244426583,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2025,Philly,CH,ProACT-OPT-PUE,30.0,0.3,13.108748831844398,24.74805341426235,50.33369634469601,14.573710575635257,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4336472826198454
2025,Philly,IT,FCFS,258.0,0.35,162.8310570425387,0.0,523.0650497607202,0.0,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2025,Philly,IT,Threshold,258.0,0.35,162.8310570425387,0.0,240.49197037740927,54.022550256908964,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2025,Philly,IT,CarbonScaler,258.0,0.35,115.41554081742716,29.11945490394041,170.46201951576185,67.41093300083023,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091729,1.4769416519514584
2025,Philly,IT,ProACT-OPT,258.0,0.35,122.34541439974731,24.8635876829165,180.69703845224856,65.45419378815127,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2025,Philly,IT,ProACT-OPT-PUE,258.0,0.35,121.82383985493645,25.183904061305306,448.8192990742661,14.194362770064329,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4336472826198454
2025,Philly,DE,FCFS,295.0,0.4,183.32954527930295,0.0,620.3562543008693,0.0,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
