experiment,metric,workload,value,unit
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,bursty_alternating,NA,W
E1,best_fsm_mhz,bursty_alternating,NA,MHz
E1,best_iters_per_joule,bursty_alternating,0,-
E1,best_pcap_w,inference_memory_bound,NA,W
E1,best_fsm_mhz,inference_memory_bound,NA,MHz
E1,best_iters_per_joule,inference_memory_bound,0,-
E1,best_pcap_w,inference_memory_bound,NA,W
E1,best_fsm_mhz,inference_memory_bound,NA,MHz
E1,best_iters_per_joule,inference_memory_bound,0,-
E1,best_pcap_w,inference_memory_bound,NA,W
E1,best_fsm_mhz,inference_memory_bound,NA,MHz
E1,best_iters_per_joule,inference_memory_bound,0,-
E1,best_pcap_w,inference_memory_bound,NA,W
E1,best_fsm_mhz,inference_memory_bound,NA,MHz
E1,best_iters_per_joule,inference_memory_bound,0,-
E1,best_pcap_w,inference_memory_bound,NA,W
E1,best_fsm_mhz,inference_memory_bound,NA,MHz
E1,best_iters_per_joule,inference_memory_bound,0,-
E1,best_pcap_w,inference_memory_bound,NA,W
