t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0000,232106752789
0.0101,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0201,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0302,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0403,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0503,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0604,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0704,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0805,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0906,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1007,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,232116170489
0.1107,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1208,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1309,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1410,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1510,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1611,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1712,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1813,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1913,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2014,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0165,232125684503
0.2115,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2215,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2316,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2417,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2518,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2618,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2719,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2820,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2921,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3021,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,232135208527
0.3122,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3223,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3324,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3424,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3525,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3626,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3726,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3827,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3928,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4029,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0152,232144761298
0.4129,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4230,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4331,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4432,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4532,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4633,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4734,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4834,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4935,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5036,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,232154309491
0.5137,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5237,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5338,0,45.93,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5439,0,45.93,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5539,0,45.87,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5640,0,45.87,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5741,0,45.87,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5841,0,45.87,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5942,0,45.90,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6042,0,45.90,405,877,47,0.0,0.0,273,,0x0000000000000001,0.7569,232177007248
0.6143,0,45.90,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6244,0,45.90,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6344,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6445,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6545,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6646,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6747,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6847,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6948,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7048,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.1752,232190543652
0.7149,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7249,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7350,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7451,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7551,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7652,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7752,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7853,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7954,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8054,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0152,232200957199
0.8155,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8255,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8356,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8457,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8557,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8658,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8758,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8859,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8960,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9060,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0152,232211183369
0.9161,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9261,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9362,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9463,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9563,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9664,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9764,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9865,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9966,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0066,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0152,232221436394
1.0167,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0267,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0368,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0469,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0569,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0670,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0770,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0871,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0972,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1072,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,232231752164
1.1173,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1273,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1374,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1474,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1575,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1676,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1776,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1877,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1977,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2078,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,232241982057
1.2179,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2279,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2380,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2481,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2582,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2682,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2783,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2884,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2985,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3085,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,0.0152,232252149756
1.3186,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3287,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3388,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3488,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3589,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3690,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3790,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3891,0,45.96,405,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3992,0,45.96,405,877,47,0.0,0.0,274,,0x0000000000000001,,
1.4093,0,45.96,405,877,47,0.0,0.0,276,,0x0000000000000001,0.0166,232262244701
1.4193,0,45.96,405,877,47,0.0,0.0,276,,0x0000000000000001,,
1.4294,0,45.96,405,877,47,0.0,0.0,276,,0x0000000000000001,,
1.4395,0,45.96,405,877,47,0.0,0.0,276,,0x0000000000000001,,
1.4496,0,45.96,405,877,47,0.0,0.0,276,,0x0000000000000001,,
1.4596,0,45.96,405,877,47,0.0,0.0,276,,0x0000000000000001,,
1.4697,0,45.96,405,877,47,0.01,0.0,280,,0x0000000000000001,,
1.4798,0,45.96,405,877,47,0.01,0.0,288,,0x0000000000000001,,
1.4997,0,45.96,405,877,47,0.01,0.0,288,,0x0000000000000001,,
1.5098,0,45.96,405,877,47,0.01,0.0,288,,0x0000000000000001,,
1.5198,0,45.96,405,877,47,0.01,0.0,292,,0,0.0163,232273198164
1.5299,0,45.96,405,877,47,0.01,0.0,300,,0,,
1.5400,0,45.96,405,877,47,0.01,0.0,334,,0,,
1.5501,0,45.96,405,877,47,0.01,0.0,584,,0,,
1.5601,0,47.91,405,877,47,0.01,0.0,778,,0,,
1.5702,0,47.91,405,877,47,0.01,0.0,778,,0,,
1.5803,0,46.45,405,877,47,0.01,0.0,872,,0,,
