t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0000,183076116162
0.0101,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.0201,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.0302,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.0403,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.0503,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.0604,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.0705,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.0805,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.0906,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.1007,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0166,183085616931
0.1107,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.1208,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.1309,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.1410,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.1511,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.1611,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.1712,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.1813,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.1914,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.2014,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0179,183095089502
0.2115,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.2216,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.2317,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.2417,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.2518,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.2619,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.2720,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.2820,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.2921,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.3022,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0152,183104551941
0.3122,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.3223,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.3324,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.3425,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.3525,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.3626,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.3727,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.3828,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.3928,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.4029,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0166,183114133643
0.4130,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.4231,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.4331,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.4432,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.4533,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.4634,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.4734,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.4835,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.4936,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.5037,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0166,183123654492
0.5137,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.5238,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.5339,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.5439,0,51.26,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.5540,0,51.26,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.5641,0,51.23,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.5741,0,51.23,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.5842,0,51.71,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.5943,0,51.71,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.6043,0,51.23,945,877,43,0.0,0.0,273,,0x0000000000000001,0.7313,183145914994
0.6144,0,51.23,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.6245,0,51.75,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.6345,0,51.75,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.6446,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.6546,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.6647,0,51.36,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.6748,0,51.36,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.6848,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.6949,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.7049,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,0.2022,183159804302
0.7150,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.7251,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.7352,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.7452,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.7553,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.7654,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.7755,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.7855,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.7956,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.8057,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0152,183169774919
0.8158,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.8258,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.8359,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.8460,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.8561,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.8661,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.8762,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.8863,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.8964,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.9064,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0152,183179684378
0.9165,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.9266,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.9366,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.9467,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.9568,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.9669,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.9769,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.9870,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
0.9971,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.0072,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0166,183189624905
1.0172,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.0273,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.0374,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.0475,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.0575,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.0676,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.0777,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.0877,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.0978,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.1079,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0193,183199466066
1.1180,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.1280,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.1381,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.1482,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.1583,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.1683,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.1784,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.1885,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.1985,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.2086,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0166,183209261939
1.2187,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.2288,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.2388,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.2489,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.2590,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.2691,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.2791,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.2892,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.2993,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.3094,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,0.0166,183219006237
1.3194,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.3295,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.3396,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.3497,0,51.30,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.3597,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.3698,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.3799,0,51.33,945,877,43,0.0,0.0,273,,0x0000000000000001,,
1.3900,0,51.33,945,877,43,0.0,0.0,274,,0x0000000000000001,,
1.4000,0,51.30,945,877,43,0.0,0.0,274,,0x0000000000000001,,
1.4101,0,51.30,945,877,43,0.0,0.0,276,,0x0000000000000001,0.0179,183228745532
1.4202,0,51.33,945,877,43,0.0,0.0,276,,0x0000000000000001,,
1.4303,0,51.33,945,877,43,0.0,0.0,276,,0x0000000000000001,,
1.4403,0,51.30,945,877,43,0.0,0.0,276,,0x0000000000000001,,
1.4504,0,51.30,945,877,43,0.0,0.0,276,,0x0000000000000001,,
1.4605,0,51.33,945,877,43,0.0,0.0,276,,0x0000000000000001,,
1.4705,0,51.30,945,877,43,0.0,0.0,288,,0x0000000000000001,,
1.4952,0,51.30,945,877,43,0.0,0.0,288,,0x0000000000000001,,
1.5053,0,51.30,945,877,43,0.0,0.0,288,,0x0000000000000001,,
1.5154,0,51.30,945,877,43,0.0,0.0,290,,0,,
1.5254,0,51.30,945,877,43,0.0,0.0,300,,0,0.0181,183239745382
1.5355,0,51.30,945,877,43,0.0,0.0,334,,0,,
1.5456,0,51.78,945,877,43,0.0,0.0,584,,0,,
1.5557,0,51.78,945,877,43,0.0,0.0,1612,,0,,
1.5658,0,56.66,945,877,43,0.04,0.01,1612,,0,,
1.5758,0,56.66,945,877,43,0.04,0.01,1642,,0,,
1.5859,0,61.00,945,877,43,0.04,0.01,1698,,0,,
1.5960,0,61.00,945,877,43,0.04,0.01,1698,,0,,
1.6061,0,128.28,945,877,43,0.04,0.01,1698,,0,,
1.6161,0,128.28,945,877,43,0.04,0.01,1698,,0,,
1.6262,0,148.96,945,877,44,0.04,0.01,1698,,0,0.0152,183249556330
1.6363,0,148.96,945,877,44,0.04,0.01,1698,,0,,
1.6463,0,152.93,945,877,44,0.04,0.01,1698,,0,,
1.6564,0,152.93,945,877,44,0.04,0.01,1698,,0,,
1.6665,0,149.64,945,877,44,0.04,0.01,1698,,0,,
1.6766,0,149.64,945,877,44,0.04,0.01,1698,,0,,
1.6866,0,144.69,945,877,44,0.04,0.01,1698,,0,,
1.6967,0,144.69,945,877,44,0.04,0.01,1698,,0,,
1.7068,0,147.50,945,877,44,0.04,0.01,1698,,0,,
1.7168,0,147.50,945,877,44,0.04,0.01,1698,,0,,
1.7269,0,151.48,945,877,44,0.86,0.53,1698,,0,0.0193,183259416657
