t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,0.0000,134710605945
0.0101,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.0201,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.0302,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.0403,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.0503,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.0604,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.0704,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.0805,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.0906,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.1006,0,46.94,405,877,49,0.0,0.0,273,,0x0000000000000001,0.0152,134720116724
0.1107,0,46.94,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.1208,0,46.94,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.1308,0,46.94,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.1409,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.1509,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1610,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1711,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1811,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.1912,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.2012,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,0.0166,134729701538
0.2113,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.2214,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.2314,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.2415,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2515,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2616,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2717,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.2817,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.2918,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.3018,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,0.0152,134739352759
0.3119,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.3220,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.3320,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3421,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3521,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3622,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3723,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3823,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3924,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.4024,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,0.0152,134749052990
0.4125,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.4226,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.4326,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.4427,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.4527,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.4628,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.4729,0,46.45,405,877,49,0.0,0.0,273,,0x0000000000000001,,
0.4829,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4930,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5030,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0152,134758715990
0.5131,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5232,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5333,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5433,0,46.39,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5534,0,46.39,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5634,0,46.85,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5735,0,46.85,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5836,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5936,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6037,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,0.7111,134780521049
0.6137,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6238,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6339,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6439,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6540,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6640,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6741,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6842,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6942,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7043,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.2188,134794714494
0.7143,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7244,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7345,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7445,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7546,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7646,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7747,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7848,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7948,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8049,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0152,134805255239
0.8149,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8250,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8351,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8451,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8552,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8652,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8753,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8854,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8954,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9055,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0166,134815590478
0.9155,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9256,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9357,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9457,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9558,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9658,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9759,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9860,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9960,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0061,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0152,134825947263
1.0161,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0262,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0363,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0463,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0564,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0664,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0765,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0866,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0966,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.1067,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0166,134836433503
1.1167,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.1268,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.1368,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.1469,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.1570,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.1670,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.1771,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
