workload,pcap_w,sm_target_mhz,iters_per_s,power_mean_w,energy_j,energy_per_iter_j,iters_per_joule,sm_mean_mhz,temp_mean_c,util_gpu_mean,duration_s,throttle_seen
bursty_alternating,150,405,14.756,61.3,3068.4,4.3156,0.2317,405.0,47.4,0.968,50.1,0x0000000000000001
bursty_alternating,150,945,60.094,109.4,3830.7,1.8917,0.5286,945.0,47.9,0.912,35.6,0x0000000000000001;0x0000000000000004
bursty_alternating,150,1380,72.265,139.6,5036.6,2.0034,0.4991,1180.0,51.8,0.899,36.7,0x0000000000000001;0x0000000000000004
bursty_alternating,200,405,14.831,60.9,3021.1,4.2491,0.2353,405.0,44.9,0.974,49.9,0x0000000000000001
bursty_alternating,200,945,60.534,117.3,4077.9,2.0108,0.4973,945.0,47.7,0.911,35.4,0x0000000000000001
bursty_alternating,200,1380,82.949,182.0,5895.2,2.2761,0.4393,1356.0,55.6,0.886,33.1,0x0000000000000001;0x0000000000000004
bursty_alternating,250,405,14.793,60.9,3031.0,4.263,0.2346,405.0,45.3,0.973,50.0,0x0000000000000001
bursty_alternating,250,945,60.504,116.6,4056.6,2.0003,0.4999,945.0,47.7,0.911,35.4,0x0000000000000001
bursty_alternating,250,1380,84.595,191.5,6106.9,2.3479,0.4259,1380.0,56.4,0.884,32.7,0x0000000000000001;0x0000000000000004
bursty_alternating,300,405,14.782,60.8,3033.7,4.2667,0.2344,405.0,45.5,0.973,50.0,0x0000000000000001
bursty_alternating,300,945,60.489,116.3,4049.0,1.9965,0.5009,945.0,47.8,0.911,35.4,0x0000000000000001
bursty_alternating,300,1380,84.61,191.7,6108.2,2.3484,0.4258,1380.0,56.5,0.885,32.6,0x0000000000000001
inference_memory_bound,150,405,90.14,67.1,2372.6,0.7794,1.283,405.0,47.3,0.988,35.7,0x0000000000000001
inference_memory_bound,150,945,403.781,140.2,4456.2,0.3578,2.7947,945.0,50.0,0.993,32.8,0x0000000000000001;0x0000000000000004
inference_memory_bound,150,1380,422.88,147.2,4694.4,0.3602,2.7759,1001.0,52.1,0.993,32.7,0x0000000000000001;0x0000000000000004
inference_memory_bound,200,405,90.804,67.1,2366.4,0.7718,1.2957,405.0,45.9,0.993,35.7,0x0000000000000001
inference_memory_bound,200,945,404.987,143.2,4567.0,0.3656,2.7351,945.0,49.8,0.993,32.8,0x0000000000000001
inference_memory_bound,200,1380,492.945,196.4,6198.6,0.4097,2.4409,1270.0,56.6,0.993,32.6,0x0000000000000001;0x0000000000000004
inference_memory_bound,250,405,90.169,67.2,2370.1,0.7784,1.2847,405.0,47.2,0.994,35.7,0x0000000000000001
inference_memory_bound,250,945,404.695,142.4,4544.3,0.3641,2.7468,945.0,50.4,0.993,32.7,0x0000000000000001
inference_memory_bound,250,1380,509.78,222.4,6993.0,0.4473,2.2355,1380.0,59.4,0.993,32.6,0x0000000000000001
inference_memory_bound,300,405,90.173,67.8,2389.3,0.7847,1.2744,405.0,48.4,0.994,35.7,0x0000000000000001
inference_memory_bound,300,945,404.476,141.7,4528.5,0.363,2.7548,945.0,50.8,0.993,32.8,0x0000000000000001
inference_memory_bound,300,1380,509.842,223.0,7008.8,0.4483,2.2308,1380.0,59.8,0.993,32.6,0x0000000000000001
matmul_compute_bound,150,405,15.407,60.0,3221.7,4.017,0.2489,405.0,38.3,0.994,54.0,0x0000000000000001
matmul_compute_bound,150,945,64.95,114.0,4149.6,1.8128,0.5516,945.0,44.5,0.994,37.1,0x0000000000000001
matmul_compute_bound,150,1380,79.101,146.7,5187.7,1.9108,0.5234,1158.0,50.4,0.994,36.2,0x0000000000000001;0x0000000000000004
matmul_compute_bound,200,405,15.213,60.9,3288.4,4.1311,0.2421,405.0,43.4,0.996,54.2,0x0000000000000001
matmul_compute_bound,200,945,65.06,115.6,4223.9,1.8421,0.5429,945.0,46.6,0.994,37.1,0x0000000000000001
matmul_compute_bound,200,1380,91.803,196.1,6777.4,2.1898,0.4567,1353.0,56.2,0.994,35.6,0x0000000000000001;0x0000000000000004
matmul_compute_bound,250,405,15.139,61.3,3309.8,4.179,0.2393,405.0,45.1,0.996,54.2,0x0000000000000001
matmul_compute_bound,250,945,65.018,115.3,4220.8,1.8423,0.5428,945.0,47.4,0.993,37.2,0x0000000000000001
matmul_compute_bound,250,1380,93.714,205.5,7082.6,2.247,0.445,1380.0,57.7,0.994,35.5,0x0000000000000001;0x0000000000000004
matmul_compute_bound,300,405,15.131,61.4,3318.1,4.1895,0.2387,405.0,45.6,0.996,54.3,0x0000000000000001
matmul_compute_bound,300,945,65.373,122.2,4435.8,1.9261,0.5192,945.0,48.3,0.994,37.1,0x0000000000000001
matmul_compute_bound,300,1380,93.729,206.3,7103.9,2.2538,0.4437,1380.0,58.2,0.994,35.5,0x0000000000000001
