t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,0,83.78,1530,877,64,0.0,0.0,273,,0,0.0000,284836902589
0.0050,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0101,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0151,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0202,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0253,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0303,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0354,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0404,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0455,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0506,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0556,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0607,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0658,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0708,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0759,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0810,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0860,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0911,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.0962,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.1013,0,83.78,1530,877,64,0.0,0.0,273,,0,0.0192,284846662696
0.1063,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.1114,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.1165,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.1215,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.1266,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.1317,0,83.78,1530,877,64,0.0,0.0,273,,0,,
0.1368,0,83.84,1530,877,64,0.0,0.0,273,,0,,
0.1418,0,83.84,1530,877,64,0.0,0.0,273,,0,,
0.1469,0,83.84,1530,877,64,0.0,0.0,273,,0,,
0.1520,0,83.84,1530,877,64,0.0,0.0,273,,0,,
0.1571,0,83.30,1530,877,64,0.0,0.0,273,,0,,
0.1621,0,83.30,1530,877,64,0.0,0.0,273,,0,,
0.1672,0,83.30,1530,877,64,0.0,0.0,273,,0,,
0.1723,0,83.30,1530,877,64,0.0,0.0,273,,0,,
0.1774,0,83.30,1530,877,64,0.0,0.0,273,,0,,
0.1824,0,83.30,1530,877,64,0.0,0.0,273,,0,,
0.1875,0,83.30,1530,877,64,0.0,0.0,273,,0,,
0.1926,0,83.30,1530,877,64,0.0,0.0,273,,0,,
