t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,2,38.65,135,877,32,0.01,0.0,273,,0x0000000000000001,0.0000,0
0.0101,2,38.65,135,877,32,0.01,0.0,273,,0x0000000000000001,,
0.0201,2,38.65,135,877,32,0.01,0.0,273,,0x0000000000000001,,
0.0302,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.0403,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.0503,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.0604,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.0705,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.0805,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.0906,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.1007,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,0.0526,0
0.1108,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.1208,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.1309,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.1410,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.1511,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.1611,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.1712,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.1813,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.1914,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.2014,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,0.0538,0
0.2115,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.2216,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.2317,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.2417,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.2518,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.2619,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.2720,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.2820,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.2921,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.3022,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,0.0537,0
0.3123,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.3223,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.3324,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.3425,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.3526,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.3626,2,38.16,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.3727,2,38.62,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.3828,2,38.62,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.3928,2,38.11,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.4029,2,38.11,135,877,32,0.0,0.0,273,,0x0000000000000001,0.3807,0
0.4130,2,38.09,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.4231,2,38.09,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.4331,2,38.11,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.4510,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.4679,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.4780,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.4881,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.4982,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.5082,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.5183,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,0.9421,0
0.5294,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.5395,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.5496,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.5596,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.5697,2,38.65,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.5820,2,38.14,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.5921,2,38.11,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.6021,2,38.11,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.6122,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.6223,2,38.60,135,877,32,0.0,0.0,273,,0x0000000000000001,0.6582,0
0.6323,2,38.11,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.6424,2,38.11,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.6525,2,38.11,135,877,32,0.0,0.0,273,,0x0000000000000001,,
0.6625,2,38.11,135,877,32,0.0,0.0,273,,0x0000000000000001,,
