t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,0.0000,0
0.0101,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.0201,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.0302,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.0402,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.0503,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.0604,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.0704,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.0805,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.0905,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.1006,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,0.0523,0
0.1107,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.1207,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.1308,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.1409,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.1509,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.1610,1,41.01,135,877,31,0.01,0.0,273,,0x0000000000000001,,
0.1710,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.1811,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.1912,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.2012,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,0.0484,0
0.2113,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.2213,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.2314,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.2415,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.2515,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.2616,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.2716,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.2817,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.2918,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.3018,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,0.0497,0
0.3119,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.3219,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.3320,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.3421,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.3521,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.3622,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.3722,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.3823,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.3924,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.4024,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,0.0510,0
0.4125,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.4225,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.4326,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.4427,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.4527,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.4628,1,41.01,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.4765,1,40.95,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.4866,1,40.95,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.4986,1,40.92,135,877,31,0.0,0.0,273,,0x0000000000000001,,
0.5122,1,40.92,135,877,31,0.0,0.0,273,,0x0000000000000001,0.4740,0
0.5222,1,40.92,135,877,31,0.0,0.0,273,,0x0000000000000001,,
