t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0000,0
0.0101,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.0201,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.0302,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.0402,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.0503,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.0604,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.0704,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.0805,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.0906,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.1006,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0484,0
0.1107,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.1207,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.1308,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.1409,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.1509,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.1610,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.1711,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.1811,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.1912,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.2013,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0497,0
0.2113,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.2214,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.2315,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.2415,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.2516,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.2616,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.2717,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.2818,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.2918,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.3019,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0483,0
0.3119,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.3220,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.3321,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.3421,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.3522,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.3623,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.3723,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.3824,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.3924,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.4025,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0483,0
0.4126,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.4226,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.4327,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.4428,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.4528,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.4629,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.4729,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.4830,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.4931,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.5031,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0483,0
0.5132,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.5291,2,38.62,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.5451,2,38.62,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.5601,2,38.62,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.5768,2,38.62,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.6044,2,38.62,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.6201,2,38.65,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.6301,2,38.65,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.6402,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.6503,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.7856,0
0.6603,2,38.70,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.6704,2,38.70,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.6805,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.6906,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.7006,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.7107,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.7208,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.7308,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.7409,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.7510,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0525,0
0.7610,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.7711,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.7812,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.7912,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.8013,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.8114,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.8214,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.8315,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.8416,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.8517,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0470,0
0.8617,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.8718,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.8819,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.8920,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.9020,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.9121,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.9222,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.9322,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.9423,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.9524,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0523,0
0.9625,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.9725,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.9826,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
0.9927,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.0027,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.0128,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.0229,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.0330,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.0430,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.0531,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0497,0
1.0632,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.0733,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.0833,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.0934,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.1035,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.1135,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.1236,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.1337,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.1437,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.1538,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0510,0
1.1639,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.1740,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.1840,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.1941,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.2042,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.2142,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.2243,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.2344,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.2445,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.2545,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0497,0
1.2646,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.2747,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.2848,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.2948,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.3049,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.3150,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.3250,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.3351,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.3452,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.3553,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0510,0
1.3653,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.3754,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.3855,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.3955,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.4056,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.4157,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.4258,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.4358,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.4459,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.4560,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,0.0483,0
1.4660,2,38.67,135,877,34,0.0,0.0,273,,0x0000000000000001,,
1.4761,2,38.67,135,877,34,0.0,0.0,274,,0x0000000000000001,,
1.4862,2,38.67,135,877,34,0.0,0.0,276,,0x0000000000000001,,
1.4962,2,38.67,135,877,34,0.0,0.0,276,,0x0000000000000001,,
1.5063,2,38.67,135,877,34,0.01,0.0,276,,0x0000000000000001,,
1.5164,2,38.67,135,877,34,0.01,0.0,276,,0x0000000000000001,,
1.5265,2,38.67,135,877,34,0.01,0.0,276,,0x0000000000000001,,
1.5365,2,38.67,135,877,34,0.01,0.0,276,,0x0000000000000001,,
1.5651,2,38.67,135,877,34,0.01,0.0,276,,0x0000000000000001,,
1.5752,2,38.67,135,877,34,0.01,0.0,276,,0x0000000000000001,0.0350,0
1.6040,2,38.67,135,877,34,0.01,0.0,276,,0x0000000000000001,,
1.6140,2,38.67,135,877,34,0.01,0.0,276,,0x0000000000000001,,
1.6241,2,38.67,135,877,34,0.01,0.0,276,,0x0000000000000001,,
