t,demand_w,measured_w,error_w,pcap_command,target_pcap,sm_clock_mhz
0.0000,180.00,80.86,-99.14,300.0,180.0,1522
0.0112,180.00,80.86,-99.14,229.6,180.0,1522
0.0222,180.00,80.86,-99.14,229.7,180.0,1522
0.0326,180.00,80.86,-99.14,229.8,180.0,1522
0.0437,180.00,80.86,-99.14,229.8,180.0,1522
0.0541,180.00,80.86,-99.14,229.9,180.0,1522
0.0652,180.00,80.86,-99.14,229.9,180.0,1522
0.0805,180.00,80.86,-99.14,230.0,180.0,1522
0.0909,180.00,80.38,-99.62,230.8,180.0,1522
0.1019,180.00,80.38,-99.62,230.3,180.0,1522
0.1123,180.00,80.38,-99.62,230.4,180.0,1522
0.1234,180.00,80.38,-99.62,230.4,180.0,1522
0.1338,180.00,80.38,-99.62,230.5,180.0,1522
0.1449,180.00,80.38,-99.62,230.6,180.0,1522
0.1553,180.00,80.38,-99.62,230.6,180.0,1522
0.1664,180.00,80.38,-99.62,230.7,180.0,1522
0.1769,180.00,80.38,-99.62,230.7,180.0,1522
0.1880,180.00,80.38,-99.62,230.8,180.0,1522
0.1985,180.00,80.38,-99.62,230.8,180.0,1522
0.2096,180.00,80.38,-99.62,230.9,180.0,1522
0.2206,180.00,80.38,-99.62,230.9,180.0,1522
0.2310,180.00,80.38,-99.62,231.0,180.0,1522
0.2421,180.00,80.38,-99.62,231.0,180.0,1522
0.2524,180.00,80.38,-99.62,231.1,180.0,1522
0.2635,180.00,80.38,-99.62,231.1,180.0,1522
0.2739,180.00,80.38,-99.62,231.2,180.0,1522
0.2850,180.00,80.38,-99.62,231.3,180.0,1522
0.2954,180.00,80.38,-99.62,231.3,180.0,1522
0.3064,180.00,80.38,-99.62,231.4,180.0,1522
0.3168,180.00,80.38,-99.62,231.4,180.0,1522
0.3278,180.00,80.38,-99.62,231.5,180.0,1522
0.3382,180.00,80.38,-99.62,231.5,180.0,1522
0.3493,180.00,80.38,-99.62,231.6,180.0,1522
0.3597,180.00,80.38,-99.62,231.6,180.0,1522
0.3707,180.00,80.43,-99.57,231.6,180.0,1522
0.3848,180.00,80.43,-99.57,231.7,180.0,1522
0.3952,180.00,80.38,-99.62,231.9,180.0,1522
0.4063,180.00,80.38,-99.62,231.9,180.0,1522
0.4167,180.00,80.38,-99.62,231.9,180.0,1522
0.4277,180.00,80.38,-99.62,232.0,180.0,1522
0.4381,180.00,80.38,-99.62,232.0,180.0,1522
0.4494,180.00,80.38,-99.62,232.1,180.0,1522
0.4598,180.00,80.38,-99.62,232.1,180.0,1522
0.4709,180.00,80.38,-99.62,232.2,180.0,1522
0.4815,180.00,80.38,-99.62,232.2,180.0,1522
0.4939,180.00,80.38,-99.62,232.3,180.0,1522
0.5053,180.00,80.38,-99.62,232.3,180.0,1522
0.5170,180.00,80.27,-99.73,232.5,180.0,1522
0.5297,180.00,80.27,-99.73,232.4,180.0,1522
0.5403,180.00,80.27,-99.73,232.4,180.0,1522
0.5516,180.00,80.27,-99.73,232.4,180.0,1522
0.5620,180.00,80.27,-99.73,232.4,180.0,1522
0.5731,180.00,80.27,-99.73,232.4,180.0,1522
0.5882,180.00,80.27,-99.73,232.4,180.0,1522
0.5986,180.00,80.33,-99.67,232.3,180.0,1522
0.6097,180.00,80.33,-99.67,232.3,180.0,1522
0.6201,180.00,79.94,-100.06,232.9,180.0,1522
