t,demand_w,measured_w,error_w,pcap_command,target_pcap,sm_clock_mhz
0.0000,180.00,77.46,-102.54,300.0,180.0,1530
0.0112,180.00,77.46,-102.54,231.4,180.0,1530
0.0216,180.00,77.46,-102.54,231.4,180.0,1530
0.0326,180.00,77.46,-102.54,231.5,180.0,1530
0.0430,180.00,77.46,-102.54,231.5,180.0,1530
0.0541,180.00,77.46,-102.54,231.6,180.0,1530
0.0646,180.00,77.46,-102.54,231.6,180.0,1530
0.0767,180.00,77.46,-102.54,231.7,180.0,1530
0.0878,180.00,77.46,-102.54,231.7,180.0,1530
0.0982,180.00,77.46,-102.54,231.8,180.0,1530
0.1092,180.00,77.46,-102.54,231.9,180.0,1530
0.1196,180.00,77.46,-102.54,231.9,180.0,1530
0.1307,180.00,77.46,-102.54,232.0,180.0,1530
0.1411,180.00,77.46,-102.54,232.0,180.0,1530
0.1523,180.00,77.46,-102.54,232.1,180.0,1530
0.1627,180.00,77.46,-102.54,232.1,180.0,1530
0.1737,180.00,77.46,-102.54,232.2,180.0,1530
0.1841,180.00,77.46,-102.54,232.2,180.0,1530
0.1951,180.00,77.46,-102.54,232.3,180.0,1530
0.2340,180.00,77.46,-102.54,232.5,180.0,1530
0.2463,180.00,77.46,-102.54,232.6,180.0,1530
0.2573,180.00,77.46,-102.54,232.6,180.0,1530
0.2677,180.00,77.46,-102.54,232.7,180.0,1530
0.2794,180.00,77.46,-102.54,232.7,180.0,1530
0.2911,180.00,77.46,-102.54,232.8,180.0,1530
0.3015,180.00,77.46,-102.54,232.8,180.0,1530
0.3126,180.00,77.46,-102.54,232.9,180.0,1530
0.3230,180.00,77.46,-102.54,233.0,180.0,1530
0.3340,180.00,77.46,-102.54,233.0,180.0,1530
0.3444,180.00,77.46,-102.54,233.1,180.0,1530
0.3556,180.00,77.46,-102.54,233.1,180.0,1530
0.3660,180.00,77.46,-102.54,233.2,180.0,1530
0.3770,180.00,77.46,-102.54,233.2,180.0,1530
0.3874,180.00,77.46,-102.54,233.3,180.0,1530
0.3984,180.00,77.46,-102.54,233.3,180.0,1530
0.4338,180.00,77.46,-102.54,233.5,180.0,1530
0.4451,180.00,77.46,-102.54,233.6,180.0,1530
0.4561,180.00,77.46,-102.54,233.6,180.0,1530
0.4666,180.00,77.46,-102.54,233.7,180.0,1530
0.4776,180.00,77.46,-102.54,233.7,180.0,1530
0.4881,180.00,77.46,-102.54,233.8,180.0,1530
0.4999,180.00,77.46,-102.54,233.8,180.0,1530
0.5106,180.00,77.36,-102.64,233.9,180.0,1530
0.5246,180.00,77.36,-102.64,233.8,180.0,1530
0.5359,180.00,77.36,-102.64,233.8,180.0,1530
0.5463,180.00,77.36,-102.64,233.8,180.0,1530
0.5574,180.00,77.36,-102.64,233.8,180.0,1530
0.5678,180.00,77.36,-102.64,233.8,180.0,1530
0.5789,180.00,77.36,-102.64,233.8,180.0,1530
0.5894,180.00,77.36,-102.64,233.8,180.0,1530
0.6004,180.00,77.36,-102.64,233.8,180.0,1530
0.6109,180.00,77.46,-102.54,233.7,180.0,1530
0.6220,180.00,76.97,-103.03,234.5,180.0,1530
0.6343,180.00,76.97,-103.03,234.0,180.0,1530
0.6447,180.00,77.46,-102.54,233.3,180.0,1530
0.6558,180.00,77.46,-102.54,233.8,180.0,1530
0.6662,180.00,77.46,-102.54,233.8,180.0,1530
0.6772,180.00,77.46,-102.54,233.8,180.0,1530
0.6877,180.00,76.97,-103.03,234.5,180.0,1530
0.6987,180.00,76.97,-103.03,234.0,180.0,1530
