t,demand_w,measured_w,error_w,pcap_command,target_pcap,sm_clock_mhz
0.0000,180.00,75.51,-104.49,300.0,180.0,1530
0.0113,180.00,75.51,-104.49,232.3,180.0,1530
0.0218,180.00,75.51,-104.49,232.4,180.0,1530
0.0329,180.00,75.51,-104.49,232.4,180.0,1530
0.0456,180.00,75.51,-104.49,232.5,180.0,1530
0.0561,180.00,75.51,-104.49,232.6,180.0,1530
0.0673,180.00,75.51,-104.49,232.6,180.0,1530
0.0778,180.00,75.51,-104.49,232.7,180.0,1530
0.0890,180.00,75.51,-104.49,232.7,180.0,1530
0.0995,180.00,75.51,-104.49,232.8,180.0,1530
0.1107,180.00,75.51,-104.49,232.8,180.0,1530
0.1212,180.00,75.51,-104.49,232.9,180.0,1530
0.1324,180.00,75.51,-104.49,233.0,180.0,1530
0.1429,180.00,75.51,-104.49,233.0,180.0,1530
0.1541,180.00,75.51,-104.49,233.1,180.0,1530
0.1659,180.00,75.51,-104.49,233.1,180.0,1530
0.1764,180.00,75.51,-104.49,233.2,180.0,1530
0.1876,180.00,75.51,-104.49,233.2,180.0,1530
0.1981,180.00,75.51,-104.49,233.3,180.0,1530
0.2094,180.00,75.51,-104.49,233.4,180.0,1530
0.2199,180.00,75.51,-104.49,233.4,180.0,1530
0.2311,180.00,75.51,-104.49,233.5,180.0,1530
0.2416,180.00,75.51,-104.49,233.5,180.0,1530
0.2528,180.00,75.51,-104.49,233.6,180.0,1530
0.2633,180.00,75.51,-104.49,233.6,180.0,1530
0.2745,180.00,75.51,-104.49,233.7,180.0,1530
0.2863,180.00,75.51,-104.49,233.8,180.0,1530
0.2968,180.00,75.03,-104.97,234.5,180.0,1530
0.3080,180.00,75.03,-104.97,234.1,180.0,1530
0.3185,180.00,75.51,-104.49,233.5,180.0,1530
0.3297,180.00,75.51,-104.49,234.0,180.0,1530
0.3402,180.00,75.51,-104.49,234.0,180.0,1530
0.3514,180.00,75.51,-104.49,234.1,180.0,1530
0.3619,180.00,75.03,-104.97,234.9,180.0,1530
0.3732,180.00,75.03,-104.97,234.5,180.0,1530
0.3837,180.00,75.51,-104.49,233.8,180.0,1530
0.3949,180.00,75.51,-104.49,234.3,180.0,1530
0.4067,180.00,75.51,-104.49,234.4,180.0,1530
0.4172,180.00,75.03,-104.97,235.2,180.0,1530
0.4284,180.00,75.03,-104.97,234.8,180.0,1530
0.4389,180.00,75.03,-104.97,234.8,180.0,1530
0.4501,180.00,75.03,-104.97,234.9,180.0,1530
0.4607,180.00,75.03,-104.97,234.9,180.0,1530
0.4719,180.00,75.03,-104.97,235.0,180.0,1530
0.4825,180.00,74.98,-105.02,235.1,180.0,1530
0.4936,180.00,74.98,-105.02,235.0,180.0,1530
0.5041,180.00,74.88,-105.12,235.2,180.0,1530
0.5152,180.00,74.88,-105.12,235.1,180.0,1530
0.5269,180.00,74.88,-105.12,235.1,180.0,1530
0.5373,180.00,70.03,-109.97,242.1,180.0,675
0.5504,180.00,70.03,-109.97,237.5,180.0,675
0.5608,180.00,54.08,-125.92,260.7,180.0,675
0.5719,180.00,54.08,-125.92,245.5,180.0,675
0.5825,180.00,51.19,-128.81,249.6,180.0,675
0.5936,180.00,51.19,-128.81,246.9,180.0,675
0.6046,180.00,50.74,-129.26,247.5,180.0,675
0.6157,180.00,50.77,-129.23,247.1,180.0,675
0.6276,180.00,50.77,-129.23,247.1,180.0,675
0.6380,180.00,50.77,-129.23,247.1,180.0,675
0.6491,180.00,50.77,-129.23,247.1,180.0,675
0.6596,180.00,50.77,-129.23,247.1,180.0,675
0.6707,180.00,50.77,-129.23,247.1,180.0,675
0.6812,180.00,50.77,-129.23,247.1,180.0,675
0.6923,180.00,50.77,-129.23,247.1,180.0,675
0.7028,180.00,50.77,-129.23,247.1,180.0,675
0.7139,180.00,50.77,-129.23,247.1,180.0,675
0.7244,180.00,50.77,-129.23,247.1,180.0,675
0.7355,180.00,50.77,-129.23,247.1,180.0,675
0.7478,180.00,50.77,-129.23,247.1,180.0,675
0.7582,180.00,50.77,-129.23,247.1,180.0,675
0.7693,180.00,50.77,-129.23,247.1,180.0,675
0.8011,180.00,50.25,-129.75,247.5,180.0,675
0.8123,180.00,50.25,-129.75,247.4,180.0,675
0.8228,180.00,50.29,-129.71,247.3,180.0,675
0.8340,180.00,50.29,-129.71,247.4,180.0,675
0.8446,180.00,50.29,-129.71,247.4,180.0,675
0.8558,180.00,50.29,-129.71,247.4,180.0,675
0.8663,180.00,50.29,-129.71,247.4,180.0,675
0.8775,180.00,50.29,-129.71,247.4,180.0,675
0.8898,180.00,50.29,-129.71,247.4,180.0,675
0.9003,180.00,50.29,-129.71,247.4,180.0,675
0.9115,180.00,50.29,-129.71,247.4,180.0,675
0.9221,180.00,50.29,-129.71,247.4,180.0,675
0.9333,180.00,50.29,-129.71,247.4,180.0,675
0.9438,180.00,50.25,-129.75,247.4,180.0,675
0.9550,180.00,50.25,-129.75,247.4,180.0,675
0.9656,180.00,50.29,-129.71,247.3,180.0,675
0.9768,180.00,50.29,-129.71,247.4,180.0,675
1.0031,180.00,50.29,-129.71,247.4,180.0,675
1.0468,180.00,50.29,-129.71,247.4,180.0,675
1.0579,180.00,50.29,-129.71,247.4,180.0,675
1.0685,180.00,49.80,-130.20,248.1,180.0,675
1.0796,180.00,49.80,-130.20,247.6,180.0,675
1.0900,180.00,49.80,-130.20,247.6,180.0,675
1.1011,180.00,49.80,-130.20,247.6,180.0,675
1.1115,180.00,50.29,-129.71,246.9,180.0,675
1.1226,180.00,49.80,-130.20,248.0,180.0,675
1.1347,180.00,49.80,-130.20,247.6,180.0,675
1.1451,180.00,49.77,-130.23,247.6,180.0,675
1.1562,180.00,49.77,-130.23,247.6,180.0,675
1.1667,180.00,49.77,-130.23,247.6,180.0,675
1.1778,180.00,49.77,-130.23,247.6,180.0,675
1.1884,180.00,49.77,-130.23,247.6,180.0,675
1.1995,180.00,49.77,-130.23,247.6,180.0,675
1.2100,180.00,50.29,-129.71,246.9,180.0,675
1.2211,180.00,50.29,-129.71,247.4,180.0,675
1.2315,180.00,49.80,-130.20,248.1,180.0,675
1.2426,180.00,49.80,-130.20,247.6,180.0,675
1.2550,180.00,49.80,-130.20,247.6,180.0,675
1.2655,180.00,49.80,-130.20,247.6,180.0,675
1.2766,180.00,49.80,-130.20,247.6,180.0,675
1.2871,180.00,49.77,-130.23,247.6,180.0,675
1.2982,180.00,49.77,-130.23,247.6,180.0,675
1.3093,180.00,49.80,-130.20,247.6,180.0,675
1.3204,180.00,49.80,-130.20,247.6,180.0,675
1.3310,180.00,49.80,-130.20,247.6,180.0,675
1.3424,180.00,49.80,-130.20,247.6,180.0,675
1.3529,180.00,49.80,-130.20,247.6,180.0,675
1.3640,180.00,49.80,-130.20,247.6,180.0,675
1.3754,180.00,49.80,-130.20,247.6,180.0,675
1.3860,180.00,49.80,-130.20,247.6,180.0,675
1.4006,180.00,49.80,-130.20,247.6,180.0,675
1.4111,180.00,49.77,-130.23,247.6,180.0,675
1.4223,180.00,49.77,-130.23,247.6,180.0,675
1.4327,180.00,49.80,-130.20,247.6,180.0,675
1.4439,180.00,49.77,-130.23,247.6,180.0,675
1.4702,180.00,49.77,-130.23,247.6,180.0,675
1.4815,180.00,49.77,-130.23,247.6,180.0,1290
1.4921,180.00,57.07,-122.93,237.1,180.0,1290
1.5033,180.00,57.07,-122.93,244.0,180.0,1290
1.5140,180.00,60.96,-119.04,238.4,180.0,1290
1.5251,180.00,62.91,-117.09,239.3,180.0,1290
1.5363,180.00,62.91,-117.09,241.0,180.0,1290
1.5469,180.00,131.50,-48.50,150.0,180.0,1290
1.5581,180.00,131.50,-48.50,206.7,180.0,1290
1.5686,180.00,127.62,-52.38,212.4,180.0,1290
1.5798,180.00,127.62,-52.38,208.7,180.0,1290
1.5903,180.00,212.59,32.59,150.0,180.0,1290
1.6018,180.00,212.59,32.59,166.2,180.0,1290
1.6123,180.00,224.99,44.99,150.0,180.0,1290
1.6235,180.00,224.99,44.99,159.9,180.0,1290
1.6341,180.00,229.82,49.82,152.9,180.0,1290
1.6453,180.00,231.27,51.27,155.4,180.0,1290
1.6630,180.00,231.27,51.27,156.7,180.0,1290
1.6735,180.00,232.08,52.08,155.5,180.0,1290
1.6847,180.00,229.34,49.34,160.0,180.0,1290
1.7034,180.00,229.34,49.34,157.5,180.0,1290
1.7139,180.00,232.72,52.72,152.6,180.0,1312
1.7261,180.00,235.94,55.94,151.5,180.0,1312
1.7429,180.00,235.94,55.94,154.1,180.0,1312
1.7534,180.00,238.35,58.35,150.6,180.0,1312
1.7646,180.00,237.54,57.54,154.0,180.0,1312
1.7828,180.00,237.54,57.54,153.2,180.0,1312
1.7933,180.00,233.20,53.20,159.5,180.0,1312
1.8046,180.00,210.66,30.66,186.7,180.0,1312
1.8223,180.00,210.66,30.66,166.6,180.0,1312
1.8328,180.00,191.11,11.11,194.9,180.0,1312
1.8439,180.00,191.11,11.11,176.3,180.0,1312
1.8545,180.00,186.76,6.76,182.7,180.0,1312
1.8657,180.00,186.28,6.28,179.2,180.0,1312
1.8805,180.00,186.28,6.28,178.8,180.0,1432
1.8914,180.00,203.90,23.90,153.8,180.0,1432
1.9027,180.00,203.90,23.90,169.9,180.0,1432
1.9133,180.00,217.27,37.27,150.6,180.0,1432
1.9245,180.00,217.27,37.27,163.2,180.0,1432
1.9352,180.00,220.65,40.65,158.3,180.0,1432
1.9463,180.00,223.69,43.69,157.2,180.0,1432
1.9604,180.00,223.69,43.69,159.9,180.0,1432
1.9709,180.00,224.51,44.51,158.7,180.0,1432
1.9821,180.00,224.51,44.51,159.4,180.0,1432
1.9926,180.00,224.99,44.99,158.7,180.0,1432
2.0040,180.00,224.99,44.99,159.2,180.0,1432
2.0468,180.00,224.51,44.51,159.4,180.0,1252
2.0725,180.00,188.69,8.69,191.1,180.0,1162
2.0908,180.00,158.55,-21.45,208.7,180.0,1140
2.1116,180.00,150.79,-29.21,199.9,180.0,1147
2.1307,180.00,148.37,-31.63,198.7,180.0,1162
2.1505,180.00,148.37,-31.63,197.5,180.0,1170
2.1709,180.00,151.28,-28.72,194.6,180.0,1177
2.1907,180.00,151.28,-28.72,196.1,180.0,1185
2.2115,180.00,155.64,-24.36,191.8,180.0,1192
2.2311,180.00,156.12,-23.88,193.5,180.0,1192
2.2491,180.00,156.12,-23.88,193.7,180.0,1192
2.2672,180.00,158.06,-21.94,191.7,180.0,1192
2.2873,180.00,156.12,-23.88,194.7,180.0,1192
2.3072,180.00,156.12,-23.88,193.8,180.0,1192
2.3181,180.00,155.16,-24.84,195.2,180.0,1192
2.3293,180.00,156.61,-23.39,192.3,180.0,1192
2.3474,180.00,156.61,-23.39,193.6,180.0,1192
2.3677,180.00,158.06,-21.94,192.2,180.0,1192
2.3876,180.00,156.61,-23.39,194.4,180.0,1192
2.4076,180.00,156.61,-23.39,193.7,180.0,1192
2.4183,180.00,155.64,-24.36,195.1,180.0,1192
2.4295,180.00,157.09,-22.91,192.1,180.0,1192
2.4477,180.00,157.09,-22.91,193.5,180.0,1192
2.4678,180.00,155.64,-24.36,194.9,180.0,1192
2.4879,180.00,157.09,-22.91,192.8,180.0,1192
2.5078,180.00,157.09,-22.91,193.5,180.0,1192
2.5187,180.00,156.12,-23.88,194.9,180.0,1192
2.5300,180.00,154.67,-25.33,196.1,180.0,1192
2.5481,180.00,157.09,-22.91,192.3,180.0,1192
2.5683,180.00,156.12,-23.88,194.6,180.0,1192
2.5882,180.00,157.58,-22.42,192.7,180.0,1192
2.6083,180.00,156.50,-23.50,194.5,180.0,1192
2.6290,180.00,155.64,-24.36,194.8,180.0,1192
2.6485,180.00,155.64,-24.36,194.4,180.0,1192
2.6591,180.00,157.58,-22.42,191.7,180.0,1192
2.6703,180.00,156.61,-23.39,194.8,180.0,1192
2.6886,180.00,154.67,-25.33,196.0,180.0,1192
2.7086,180.00,156.99,-23.01,192.7,180.0,1192
2.7307,180.00,156.02,-23.98,194.8,180.0,1192
2.7503,180.00,157.58,-22.42,192.8,180.0,1192
2.7689,180.00,157.09,-22.91,194.1,180.0,1192
2.7896,180.00,155.16,-24.84,195.8,180.0,1192
2.8092,180.00,157.09,-22.91,192.9,180.0,1192
2.8298,180.00,156.50,-23.50,194.5,180.0,1192
2.8495,180.00,156.61,-23.39,194.1,180.0,1192
2.8697,180.00,157.58,-22.42,193.2,180.0,1192
2.8895,180.00,157.58,-22.42,193.7,180.0,1192
2.9003,180.00,156.61,-23.39,195.1,180.0,1192
2.9115,180.00,155.16,-24.84,196.2,180.0,1192
2.9303,180.00,157.09,-22.91,192.9,180.0,1192
2.9512,180.00,157.09,-22.91,194.0,180.0,1192
2.9714,180.00,155.16,-24.84,195.9,180.0,1192
2.9906,180.00,156.61,-23.39,193.4,180.0,1192
3.0101,180.00,156.61,-23.39,194.2,180.0,1192
3.0543,180.00,157.58,-22.42,193.5,180.0,1290
3.0720,180.00,170.43,-9.57,180.0,180.0,1290
3.0893,180.00,170.43,-9.57,187.3,180.0,1290
3.0998,180.00,179.14,-0.86,174.7,180.0,1290
3.1110,180.00,181.08,1.08,180.2,180.0,1290
3.1291,180.00,181.08,1.08,182.0,180.0,1290
3.1396,180.00,181.08,1.08,182.0,180.0,1290
3.1508,180.00,179.63,-0.37,184.0,180.0,1290
3.1677,180.00,179.63,-0.37,182.7,180.0,1290
3.1782,180.00,179.14,-0.86,183.4,180.0,1290
3.1894,180.00,179.14,-0.86,182.9,180.0,1290
3.2000,180.00,183.01,3.01,177.3,180.0,1290
3.2112,180.00,180.59,0.59,184.4,180.0,1290
