t,gpu_index,power_w,sm_clock_mhz,util_gpu,pcap_set,rapl_pkg_uj
0.0000,0,81.89,1530,0.0,,186543031725
0.0000,1,40.52,135,0.0,,186543031725
0.0000,2,38.65,135,0.0,,186543031725
0.0139,0,81.84,1530,0.0,,186543976975
0.0139,1,40.52,135,0.0,,186543976975
0.0139,2,38.65,135,0.0,,186543976975
0.0275,0,81.84,1530,0.0,,186544928632
0.0275,1,40.52,135,0.0,,186544928632
0.0275,2,38.65,135,0.0,,186544928632
0.0403,0,81.84,1530,0.0,,186545816936
0.0403,1,40.52,135,0.0,,186545816936
0.0403,2,38.65,135,0.0,,186545816936
0.0524,0,81.84,1530,0.0,,186546637429
0.0524,1,40.52,135,0.0,,186546637429
0.0524,2,38.65,135,0.0,,186546637429
0.0662,0,81.84,1530,0.0,,186547537207
0.0662,1,40.52,135,0.0,,186547537207
0.0662,2,38.65,135,0.0,,186547537207
0.0790,0,81.84,1530,0.0,,186548410252
0.0790,1,40.52,135,0.0,,186548410252
0.0790,2,38.65,135,0.0,,186548410252
0.0911,0,81.84,1530,0.0,,186549227877
0.0911,1,40.52,135,0.0,,186549227877
0.0911,2,38.16,135,0.0,,186549227877
0.1042,0,81.84,1530,0.0,,186550100860
0.1042,1,40.52,135,0.0,,186550100860
0.1042,2,38.16,135,0.0,,186550100860
0.1184,0,81.84,1530,0.0,,186551044400
0.1184,1,40.52,135,0.0,,186551044400
0.1184,2,38.16,135,0.0,,186551044400
0.1306,0,81.84,1530,0.0,,186551843470
0.1306,1,40.52,135,0.0,,186551843470
0.1306,2,38.65,135,0.0,,186551843470
0.1434,0,81.84,1530,0.0,,186552719323
0.1434,1,40.52,135,0.0,,186552719323
0.1434,2,38.65,135,0.0,,186552719323
0.1581,0,81.84,1530,0.0,,186553767416
0.1581,1,40.52,135,0.0,,186553767416
0.1581,2,38.65,135,0.0,,186553767416
0.1703,0,81.35,1530,0.0,,186554597492
0.1703,1,40.52,135,0.0,,186554597492
0.1703,2,38.16,135,0.0,,186554597492
0.1830,0,81.35,1530,0.0,,186555493730
0.1830,1,40.52,135,0.0,,186555493730
0.1830,2,38.16,135,0.0,,186555493730
0.1981,0,81.35,1530,0.0,,186556502760
0.1981,1,40.52,135,0.0,,186556502760
0.1981,2,38.16,135,0.0,,186556502760
0.2102,0,81.35,1530,0.0,,186557312145
0.2102,1,40.52,135,0.0,,186557312145
0.2102,2,38.65,135,0.0,,186557312145
0.2230,0,81.35,1530,0.0,,186558178415
0.2230,1,40.52,135,0.0,,186558178415
0.2230,2,38.65,135,0.0,,186558178415
0.2391,0,81.35,1530,0.0,,186559257453
0.2391,1,40.52,135,0.0,,186559257453
0.2391,2,38.65,135,0.0,,186559257453
0.2512,0,81.35,1530,0.0,,186560060918
0.2512,1,40.52,135,0.0,,186560060918
0.2512,2,38.65,135,0.0,,186560060918
0.2640,0,81.35,1530,0.0,,186560864688
0.2640,1,40.52,135,0.0,,186560864688
0.2640,2,38.65,135,0.0,,186560864688
0.2792,0,81.35,1530,0.0,,186561944458
0.2792,1,40.52,135,0.0,,186561944458
0.2792,2,38.65,135,0.0,,186561944458
0.2913,0,81.35,1530,0.0,,186562746030
0.2913,1,40.52,135,0.0,,186562746030
0.2913,2,38.65,135,0.0,,186562746030
0.3041,0,81.35,1530,0.0,,186563547359
0.3041,1,40.52,135,0.0,,186563547359
0.3041,2,38.65,135,0.0,,186563547359
0.3200,0,81.35,1530,0.0,,186564623894
0.3200,1,40.52,135,0.0,,186564623894
0.3200,2,38.65,135,0.0,,186564623894
0.3321,0,81.35,1530,0.0,,186565423331
0.3321,1,40.52,135,0.0,,186565423331
0.3321,2,38.16,135,0.0,,186565423331
0.3470,0,81.35,1530,0.0,,186566433094
0.3470,1,40.52,135,0.0,,186566433094
0.3470,2,38.65,135,0.0,,186566433094
0.3606,0,81.35,1530,0.0,,186567374620
0.3606,1,40.52,135,0.0,,186567374620
0.3606,2,38.65,135,0.0,,186567374620
0.3728,0,81.35,1530,0.0,,186568181014
0.3728,1,40.52,135,0.0,,186568181014
0.3728,2,38.65,135,0.0,,186568181014
0.3870,0,81.35,1530,0.0,,186569126935
0.3870,1,40.52,135,0.0,,186569126935
0.3870,2,38.65,135,0.0,,186569126935
0.3998,0,81.35,1530,0.0,,186569997904
0.3998,1,40.52,135,0.0,,186569997904
0.3998,2,38.65,135,0.0,,186569997904
0.4119,0,81.35,1530,0.0,,186570804420
0.4119,1,40.52,135,0.0,,186570804420
0.4119,2,38.65,135,0.0,,186570804420
0.4249,0,80.86,1530,0.0,,186571675634
0.4249,1,40.52,135,0.0,,186571675634
0.4249,2,38.65,135,0.0,,186571675634
0.4377,0,80.86,1530,0.0,,186572546420
