trial_id,e2e_latency_ms,n_gpus_actuated,actuation_id,wcet_observed_ms,gpu0_us,gpu1_us,gpu2_us
0,97.939,3,61,99.415,33103,33263,31049
1,96.51,3,62,99.415,30691,32541,32749
2,95.235,3,63,99.415,30116,31802,32785
3,95.528,3,64,99.415,30026,31921,33043
4,98.825,3,65,99.415,32652,32819,32828
5,101.108,3,66,100.607,31589,34329,34636
6,98.247,3,67,100.607,34044,33250,30473
7,100.931,3,68,100.607,33810,32324,34206
8,94.788,3,69,100.607,32687,31829,29716
9,95.637,3,70,100.607,30785,32180,32146
10,96.763,3,71,100.607,30893,33087,32232
11,99.101,3,72,100.607,33399,32609,32581
12,97.802,3,73,100.607,32263,32108,32869
13,98.003,3,74,100.607,32830,32727,31930
14,95.562,3,75,100.607,32766,30031,32237
15,99.004,3,76,100.607,33093,32813,32575
16,96.258,3,77,100.607,32195,31876,31630
17,98.092,3,78,100.607,32516,32342,32707
18,97.792,3,79,100.607,31794,31942,33513
19,99.579,3,80,100.607,34138,32738,32188
20,96.656,3,81,100.607,31188,32504,32435
21,94.451,3,82,100.607,32047,29135,32747
22,99.061,3,83,100.607,33304,32756,32464
23,95.547,3,84,100.607,31493,31788,31762
24,98.176,3,85,100.607,33330,32355,31972
25,97.752,3,86,100.607,32807,32510,31895
26,99.143,3,87,100.607,33255,32685,32650
27,97.652,3,88,100.607,33187,32289,31673
28,96.682,3,89,100.607,33023,30103,33029
29,98.433,3,90,100.607,33493,31851,32542
