trial_id,e2e_latency_ms,n_gpus_actuated,actuation_id,wcet_observed_ms,gpu0_us,gpu1_us,gpu2_us
0,98.98,3,31,99.415,33559,33030,31851
1,97.128,3,32,99.415,31924,32759,31905
2,98.723,3,33,99.415,33640,32214,32332
3,98.861,3,34,99.415,33066,32664,32591
4,94.388,3,35,99.415,31963,30553,31335
5,94.835,3,36,99.415,31760,31996,30561
6,94.778,3,37,99.415,32100,32280,29826
7,97.455,3,38,99.415,32597,31978,32591
8,94.49,3,39,99.415,30887,30361,32728
9,96.651,3,40,99.415,31400,32623,32095
10,97.534,3,41,99.415,32291,32255,32465
11,98.004,3,42,99.415,32259,32317,32908
12,94.642,3,43,99.415,30312,32270,31525
13,97.185,3,44,99.415,32194,32166,32313
14,97.487,3,45,99.415,31559,33327,32079
15,93.615,3,46,99.415,29891,32450,30766
16,98.111,3,47,99.415,32990,32869,31725
17,97.869,3,48,99.415,32732,32677,31928
18,99.012,3,49,99.415,33126,32561,32808
19,97.82,3,50,99.415,32581,32167,32541
20,97.243,3,51,99.415,30875,32911,32917
21,96.833,3,52,99.415,33049,30088,33182
22,96.274,3,53,99.415,32279,29888,33584
23,97.233,3,54,99.415,32226,32585,31905
24,97.103,3,55,99.415,32128,32135,32287
25,98.248,3,56,99.415,32756,32829,32093
26,98.444,3,57,99.415,33974,31701,32245
27,98.933,3,58,99.415,33032,32732,32614
28,98.108,3,59,99.415,31801,33317,32440
29,97.663,3,60,99.415,31186,32124,33786
