trial_id,e2e_latency_ms,n_gpus_actuated,actuation_id,wcet_observed_ms,gpu0_us,gpu1_us,gpu2_us
0,99.975,3,1,99.415,34521,31713,33116
1,98.718,3,2,99.415,33383,32130,32672
2,99.155,3,3,99.415,33722,32055,32903
3,97.936,3,4,99.415,32678,32928,32034
4,97.203,3,5,99.415,32767,32456,31462
5,95.695,3,6,99.415,32898,29345,32912
6,95.279,3,7,99.415,31025,32152,31595
7,96.072,3,8,99.415,31955,31673,31914
8,96.787,3,9,99.415,33234,31300,31701
9,97.919,3,10,99.415,31739,32527,33099
10,98.446,3,11,99.415,32280,33004,32632
11,95.176,3,12,99.415,31753,30830,32065
12,99.544,3,13,99.415,33525,32324,33120
13,95.99,3,14,99.415,32752,30195,32513
14,98.061,3,15,99.415,32304,32570,32650
15,96.828,3,16,99.415,32925,29843,33527
16,96.959,3,17,99.415,32049,32107,32268
17,98.711,3,18,99.415,33020,32394,32730
18,98.913,3,19,99.415,33216,33276,31902
19,96.78,3,20,99.415,31680,31543,33018
20,96.924,3,21,99.415,32758,32303,31333
21,97.028,3,22,99.415,32736,32629,31146
22,97.266,3,23,99.415,32530,32067,32119
23,96.035,3,24,99.415,31585,32333,31552
24,96.453,3,25,99.415,32691,31625,31832
25,98.394,3,26,99.415,32997,32644,32236
26,97.239,3,27,99.415,32896,31883,31941
27,97.604,3,28,99.415,32781,32299,31989
28,97.757,3,29,99.415,32988,31457,32785
29,96.814,3,30,99.415,32948,30816,32509
