scale,n_nodes,n_gpu,workload,L,sm_mhz,p_gpu_per_w,p_gpu_per_w_band,p_it_total_w,p_facility_total_w,p_facility_band_w,throughput_iters_per_s,efficiency_iters_per_joule
node,1,3,bursty_alternating,0.1,945.0,-52.5429,-3.0266,-121.6317,-144.0669,-10.7547,25.383,-0.1762
node,1,3,bursty_alternating,0.2,945.0,-25.2688,-1.4556,-39.8096,-47.1525,-5.1721,50.766,-1.0766
node,1,3,bursty_alternating,0.3,945.0,2.0052,0.1155,42.0126,49.7619,0.4104,76.149,1.5303
node,1,3,bursty_alternating,0.4,945.0,29.2793,1.6866,123.8348,146.6763,5.993,101.5319,0.6922
node,1,3,bursty_alternating,0.5,945.0,56.5533,3.2576,205.6569,243.5906,11.5756,126.9149,0.521
node,1,3,bursty_alternating,0.6,945.0,83.8274,4.8287,287.4791,340.505,17.1581,152.2979,0.4473
node,1,3,bursty_alternating,0.7,945.0,111.1015,6.3998,369.3013,437.4194,22.7407,177.6809,0.4062
node,1,3,bursty_alternating,0.8,945.0,138.3755,7.9709,451.1234,534.3338,28.3233,203.0639,0.38
node,1,3,bursty_alternating,0.9,945.0,165.6496,9.5419,532.9456,631.2482,33.9058,228.4469,0.3619
node,1,3,bursty_alternating,1.0,945.0,192.9236,11.113,614.7678,728.1625,39.4884,253.8299,0.3486
rack,12,36,bursty_alternating,0.1,945.0,-52.5429,-3.0266,-1459.5809,-1728.8027,-129.0563,304.5958,-0.1762
rack,12,36,bursty_alternating,0.2,945.0,-25.2688,-1.4556,-477.7149,-565.8301,-62.0655,609.1917,-1.0766
rack,12,36,bursty_alternating,0.3,945.0,2.0052,0.1155,504.1511,597.1425,4.9253,913.7875,1.5303
rack,12,36,bursty_alternating,0.4,945.0,29.2793,1.6866,1486.0172,1760.1151,71.916,1218.3834,0.6922
rack,12,36,bursty_alternating,0.5,945.0,56.5533,3.2576,2467.8832,2923.0877,138.9068,1522.9792,0.521
rack,12,36,bursty_alternating,0.6,945.0,83.8274,4.8287,3449.7492,4086.0602,205.8976,1827.5751,0.4473
rack,12,36,bursty_alternating,0.7,945.0,111.1015,6.3998,4431.6152,5249.0328,272.8883,2132.1709,0.4062
rack,12,36,bursty_alternating,0.8,945.0,138.3755,7.9709,5413.4813,6412.0054,339.8791,2436.7668,0.38
