country,mw,layer,mechanism,cfe_pct_mean,cfe_lift_pp_mean,cfe_abs_pct_mean,cfe_abs_lift_pp_mean,cfe_canonical_pct_mean,cfe_canonical_lift_pp_mean,cfe_lift_pp_vs_fcfs_mean,cfe_canonical_lift_pp_vs_fcfs_mean,ci_weighted_lift_g_vs_fcfs_mean,co2_avoided_t_y_vs_fcfs_mean,ci_weighted_mean_g,ci_weighted_lift_g_mean,co2_avoided_t_y_mean,delta_facility_pp_mean,jain_mean,p95_mean
CH,1.0000,fsla,M0,45.9386,0.6697,100.0000,0.0000,96.2436,0.0703,1.4173,0.0693,0.5543,2.1448,30.0512,0.5620,0.0064,-2.9835,0.7303,143.9338
CH,1.0000,fsla,M1,45.9386,0.6697,100.0000,0.0000,96.2436,0.0703,1.4173,0.0693,0.5543,2.1448,30.0512,0.5620,0.0064,-2.9835,0.7303,143.9338
CH,1.0000,fsla,M2,45.9386,0.6697,100.0000,0.0000,96.2436,0.0703,1.4173,0.0693,0.5543,2.1448,30.0512,0.5620,0.0064,-2.9835,0.7303,143.9338
CH,1.0000,fsla,M3,45.9386,0.6697,100.0000,0.0000,96.2436,0.0703,1.4173,0.0693,0.5543,2.1448,30.0512,0.5620,0.0064,-2.9835,0.7303,143.9338
CH,1.0000,fsla,none,45.2689,0.0000,100.0000,0.0000,96.1733,0.0000,0.7476,-0.0010,-0.0077,2.1384,30.6133,0.0000,0.0000,0.0000,0.7637,181.0000
CH,1.0000,pue,GridPilot-PUE,46.4194,1.8981,100.0000,0.0000,96.1759,0.0016,1.8981,0.0016,0.0127,2.1500,30.5928,0.0127,2.1500,46.6614,0.7478,159.0299
CH,1.0000,pue,none,44.5213,0.0000,100.0000,0.0000,96.1743,0.0000,0.0000,0.0000,0.0000,0.0000,30.6055,0.0000,0.0000,0.0000,0.8091,172.6894
CH,10.0000,fsla,M0,46.5514,0.5873,100.0000,0.0000,96.2400,0.0640,1.8328,0.0669,0.5353,20.3239,30.0797,0.5118,0.0541,1.3556,0.7833,135.1318
CH,10.0000,fsla,M1,46.5514,0.5873,100.0000,0.0000,96.2400,0.0640,1.8328,0.0669,0.5353,20.3239,30.0797,0.5118,0.0541,1.3556,0.7833,135.1318
CH,10.0000,fsla,M2,46.5514,0.5873,100.0000,0.0000,96.2400,0.0640,1.8328,0.0669,0.5353,20.3239,30.0797,0.5118,0.0541,1.3556,0.7833,135.1318
CH,10.0000,fsla,M3,46.5514,0.5873,100.0000,0.0000,96.2400,0.0640,1.8328,0.0669,0.5353,20.3239,30.0797,0.5118,0.0541,1.3556,0.7833,135.1318
CH,10.0000,fsla,none,45.9641,0.0000,100.0000,0.0000,96.1761,0.0000,1.2455,0.0029,0.0235,20.2699,30.5914,0.0000,0.0000,0.0000,0.7306,172.4286
CH,10.0000,pue,GridPilot-PUE,46.5651,1.8465,100.0000,0.0000,96.1699,-0.0032,1.8465,-0.0032,-0.0257,20.3253,30.6406,-0.0257,20.3253,48.3370,0.8470,149.0283
CH,10.0000,pue,none,44.7186,0.0000,100.0000,0.0000,96.1731,0.0000,0.0000,0.0000,0.0000,0.0000,30.6150,0.0000,0.0000,0.0000,0.7496,159.1382
CH,50.0000,fsla,M0,46.6268,0.6240,100.0000,0.0000,96.2391,0.0635,1.8895,0.0659,0.5272,101.0938,30.0874,0.5079,0.2884,2.5639,0.7717,134.5392
CH,50.0000,fsla,M1,46.6268,0.6240,100.0000,0.0000,96.2391,0.0635,1.8895,0.0659,0.5272,101.0938,30.0874,0.5079,0.2884,2.5639,0.7717,134.5392
CH,50.0000,fsla,M2,46.6268,0.6240,100.0000,0.0000,96.2391,0.0635,1.8895,0.0659,0.5272,101.0938,30.0874,0.5079,0.2884,2.5639,0.7717,134.5392
CH,50.0000,fsla,M3,46.6268,0.6240,100.0000,0.0000,96.2391,0.0635,1.8895,0.0659,0.5272,101.0938,30.0874,0.5079,0.2884,2.5639,0.7717,134.5392
CH,50.0000,fsla,none,46.0028,0.0000,100.0000,0.0000,96.1756,0.0000,1.2655,0.0024,0.0192,100.8054,30.5953,0.0000,0.0000,0.0000,0.6907,170.7893
CH,50.0000,pue,GridPilot-PUE,46.5862,1.8489,100.0000,-0.0000,96.1686,-0.0045,1.8489,-0.0045,-0.0363,101.0731,30.6508,-0.0363,101.0731,48.8081,0.8465,148.0858
CH,50.0000,pue,none,44.7372,0.0000,100.0000,0.0000,96.1732,0.0000,0.0000,0.0000,0.0000,0.0000,30.6146,0.0000,0.0000,0.0000,0.7493,157.9583
DE,1.0000,fsla,M0,68.2366,1.1353,0.0000,0.0000,66.4697,0.0525,2.2516,0.0249,0.1991,18.4060,268.2422,0.4203,0.2287,-0.1614,0.7302,170.5898
DE,1.0000,fsla,M1,68.2366,1.1353,0.0000,0.0000,66.4697,0.0525,2.2516,0.0249,0.1991,18.4060,268.2422,0.4203,0.2287,-0.1614,0.7302,170.5898
DE,1.0000,fsla,M2,68.2366,1.1353,0.0000,0.0000,66.4697,0.0525,2.2516,0.0249,0.1991,18.4060,268.2422,0.4203,0.2287,-0.1614,0.7302,170.5898
DE,1.0000,fsla,M3,68.2366,1.1353,0.0000,0.0000,66.4697,0.0525,2.2516,0.0249,0.1991,18.4060,268.2422,0.4203,0.2287,-0.1614,0.7302,170.5898
DE,1.0000,fsla,none,67.1013,0.0000,0.0000,0.0000,66.4172,0.0000,1.1162,-0.0276,-0.2211,18.1773,268.6625,0.0000,0.0000,0.0000,0.7637,181.0000
DE,1.0000,pue,GridPilot-PUE,68.7630,2.7779,0.0000,0.0000,66.4928,0.0480,2.7779,0.0480,0.3839,18.5154,268.0575,0.3839,18.5154,47.1579,0.8416,157.5927
DE,1.0000,pue,none,65.9851,0.0000,0.0000,0.0000,66.4448,0.0000,0.0000,0.0000,0.0000,0.0000,268.4414,0.0000,0.0000,0.0000,0.8091,172.6894
DE,10.0000,fsla,M0,68.8797,0.7405,0.0000,0.0000,66.4204,-0.0750,2.6001,0.0093,0.0746,174.3658,268.6365,-0.5997,1.4057,-0.4026,0.7464,156.2499
DE,10.0000,fsla,M1,68.8797,0.7405,0.0000,0.0000,66.4204,-0.0750,2.6001,0.0093,0.0746,174.3658,268.6365,-0.5997,1.4057,-0.4026,0.7464,156.2499
DE,10.0000,fsla,M2,68.8797,0.7405,0.0000,0.0000,66.4204,-0.0750,2.6001,0.0093,0.0746,174.3658,268.6365,-0.5997,1.4057,-0.4026,0.7464,156.2499
DE,10.0000,fsla,M3,68.8797,0.7405,0.0000,0.0000,66.4204,-0.0750,2.6001,0.0093,0.0746,174.3658,268.6365,-0.5997,1.4057,-0.4026,0.7464,156.2499
DE,10.0000,fsla,none,68.1392,0.0000,0.0000,0.0000,66.4954,0.0000,1.8597,0.0843,0.6743,172.9601,268.0368,0.0000,0.0000,0.0000,0.7306,172.4286
DE,10.0000,pue,GridPilot-PUE,68.9275,2.6479,0.0000,0.0000,66.2759,-0.1352,2.6479,-0.1352,-1.0819,174.4596,269.7930,-1.0819,174.4596,49.3875,0.8442,148.5176
DE,10.0000,pue,none,66.2796,0.0000,0.0000,0.0000,66.4111,0.0000,0.0000,0.0000,0.0000,0.0000,268.7111,0.0000,0.0000,0.0000,0.7496,159.1382
DE,50.0000,fsla,M0,68.9367,0.7396,0.0000,0.0000,66.4119,-0.0696,2.6292,-0.0006,-0.0048,867.1821,268.7047,-0.5569,6.9900,-1.6446,0.7515,155.0065
DE,50.0000,fsla,M1,68.9367,0.7396,0.0000,0.0000,66.4119,-0.0696,2.6292,-0.0006,-0.0048,867.1821,268.7047,-0.5569,6.9900,-1.6446,0.7515,155.0065
DE,50.0000,fsla,M2,68.9367,0.7396,0.0000,0.0000,66.4119,-0.0696,2.6292,-0.0006,-0.0048,867.1821,268.7047,-0.5569,6.9900,-1.6446,0.7515,155.0065
DE,50.0000,fsla,M3,68.9367,0.7396,0.0000,0.0000,66.4119,-0.0696,2.6292,-0.0006,-0.0048,867.1821,268.7047,-0.5569,6.9900,-1.6446,0.7515,155.0065
DE,50.0000,fsla,none,68.1970,0.0000,0.0000,0.0000,66.4815,0.0000,1.8895,0.0690,0.5521,860.1921,268.1478,0.0000,0.0000,0.0000,0.6907,170.7893
DE,50.0000,pue,GridPilot-PUE,68.9540,2.6465,0.0000,0.0000,66.2625,-0.1500,2.6465,-0.1500,-1.1999,867.3512,269.8997,-1.1999,867.3512,49.9454,0.8307,146.9774
