hyper,value,cfe_pct_mean,cfe_pct_std,ci_weighted_mean,p95_slowdown_mean,co2_tonnes_y_mean
alpha_scale,0.5000,56.1951,9.1201,198.1011,153.3686,135.9086
alpha_scale,1.0000,56.1951,9.1201,198.1011,153.3686,135.9086
alpha_scale,2.0000,56.1951,9.1201,198.1011,153.3686,135.9086
alpha_scale,4.0000,56.1951,9.1201,198.1011,153.3686,135.9086
short_job_s,1.0000,56.1934,9.1218,198.1022,154.2030,135.9088
short_job_s,60.0000,56.1951,9.1201,198.1011,153.3686,135.9086
short_job_s,300.0000,56.2342,9.0797,198.0775,144.9206,135.9046
t4_envelope_scale,1.0000,56.1951,9.1201,198.1011,153.3686,135.9086
t4_envelope_scale,2.0000,56.1951,9.1201,198.1011,153.3686,135.9086
window_scale,0.5000,56.2565,9.0465,198.1767,157.7010,135.9023
window_scale,1.0000,56.1951,9.1201,198.1011,153.3686,135.9086
window_scale,2.0000,56.1951,9.1201,198.1011,153.3686,135.9086
