country,mw,tier,tier_name,cfe_pct_mean,cfe_lift_pp_mean,ci_weighted_mean,p95_slowdown_mean,co2_tonnes_y_mean
CH,1.0000,0,T0,45.2689,0.0000,30.6133,181.0000,2.3254
CH,1.0000,1,T1,46.3546,1.0857,30.2046,72.4769,2.3132
CH,1.0000,2,T2,45.8709,0.6020,30.6055,172.6894,2.3197
CH,1.0000,3,T3,47.0740,1.8051,30.1791,68.9654,2.3067
CH,1.0000,4,T4,47.0411,1.7722,30.5750,166.4933,2.3071
CH,1.0000,5,T5,45.8709,0.6020,30.6055,172.6894,2.3197
CH,10.0000,0,T0,45.9641,0.0000,30.5914,172.4286,21.9269
CH,10.0000,1,T1,47.1139,1.1498,30.2135,72.4551,21.8062
CH,10.0000,2,T2,46.3300,0.3659,30.6150,159.1382,21.8954
CH,10.0000,3,T3,47.6172,1.6531,30.2226,67.9301,21.7637
CH,10.0000,4,T4,47.4370,1.4730,30.5835,152.9736,21.7822
CH,10.0000,5,T5,46.3300,0.3659,30.6150,159.1382,21.8954
CH,50.0000,0,T0,46.0028,0.0000,30.5953,170.7893,109.0505
CH,50.0000,1,T1,47.1384,1.1357,30.2149,71.5507,108.4578
CH,50.0000,2,T2,46.3899,0.3871,30.6146,157.9583,108.8827
CH,50.0000,3,T3,47.6741,1.6713,30.2229,67.3147,108.2290
CH,50.0000,4,T4,47.4488,1.4460,30.5890,154.6558,108.3437
CH,50.0000,5,T5,46.3899,0.3871,30.6146,157.9583,108.8827
DE,1.0000,0,T0,67.1013,0.0000,268.6625,181.0000,19.4252
DE,1.0000,1,T1,68.7223,1.6210,256.9420,72.4769,19.0849
DE,1.0000,2,T2,68.0001,0.8988,268.4414,172.6894,19.2457
DE,1.0000,3,T3,68.0000,0.8987,268.4414,172.6894,19.2457
DE,1.0000,4,T4,70.7292,3.6279,267.0112,151.9516,18.6785
DE,1.0000,5,T5,68.0001,0.8988,268.4414,172.6894,19.2457
DE,10.0000,0,T0,68.1392,0.0000,268.0368,172.4286,181.7207
DE,10.0000,1,T1,69.8560,1.7167,257.1973,72.4551,178.3221
DE,10.0000,2,T2,68.6855,0.5463,268.7111,159.1382,180.6968
DE,10.0000,3,T3,68.6854,0.5462,268.7111,159.1382,180.6969
DE,10.0000,4,T4,70.7828,2.6436,268.6582,143.9234,176.5740
DE,10.0000,5,T5,68.6855,0.5463,268.7111,159.1382,180.6968
DE,50.0000,0,T0,68.1970,0.0000,268.1478,170.7893,903.3634
DE,50.0000,1,T1,69.8926,1.6956,257.2380,71.5507,886.6675
DE,50.0000,2,T2,68.7750,0.5780,268.6998,157.9583,897.9542
DE,50.0000,3,T3,68.7749,0.5779,268.6998,157.9583,897.9550
DE,50.0000,4,T4,70.8105,2.6135,268.7118,143.0819,878.0506
DE,50.0000,5,T5,68.7750,0.5780,268.6998,157.9583,897.9542
FR,1.0000,0,T0,50.9796,0.0000,53.3249,181.0000,4.0276
FR,1.0000,1,T1,52.2049,1.2253,52.4225,72.4769,4.0009
FR,1.0000,2,T2,51.6590,0.6794,53.3079,172.6894,4.0147
FR,1.0000,3,T3,51.6589,0.6793,53.3079,172.6894,4.0147
FR,1.0000,4,T4,53.3373,2.3577,53.2230,159.8359,3.9791
