country,mw,tier,tier_name,seed,n_jobs,energy_kwh,co2_g_it,co2_g_facility,co2_tonnes_y,cfe_pct,cfe_abs_pct,ci_weighted_mean,p50_slowdown,p95_slowdown,p99_slowdown,cfe_lift_pp_vs_t0
SE,1.0000,0,T0,20260517,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,0.0000
SE,1.0000,0,T0,20260518,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,0.0000
SE,1.0000,0,T0,20260520,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,0.0000
SE,1.0000,0,T0,20260519,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,0.0000
SE,1.0000,0,T0,20260521,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,0.0000
SE,1.0000,0,T0,20260522,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,0.0000
SE,1.0000,0,T0,20260523,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,0.0000
SE,1.0000,0,T0,20260524,1994,6375.8483,70997.5313,84990.6102,0.8638,43.7768,100.0000,11.3298,16.3300,181.0000,469.4052,0.0000
SE,1.0000,1,T1,20260517,1994,6374.6483,70689.3512,84401.7930,0.8601,44.8244,100.0000,11.2049,11.1552,72.4769,120.1289,1.0476
SE,1.0000,1,T1,20260518,1994,6374.6483,70689.3512,84401.7930,0.8601,44.8244,100.0000,11.2049,11.1552,72.4769,120.1289,1.0476
SE,1.0000,1,T1,20260519,1994,6374.6483,70689.3512,84401.7930,0.8601,44.8244,100.0000,11.2049,11.1552,72.4769,120.1289,1.0476
SE,1.0000,1,T1,20260520,1994,6374.6483,70689.3512,84401.7930,0.8601,44.8244,100.0000,11.2049,11.1552,72.4769,120.1289,1.0476
SE,1.0000,1,T1,20260521,1994,6374.6483,70689.3512,84401.7930,0.8601,44.8244,100.0000,11.2049,11.1552,72.4769,120.1289,1.0476
SE,1.0000,1,T1,20260522,1994,6374.6483,70689.3512,84401.7930,0.8601,44.8244,100.0000,11.2049,11.1552,72.4769,120.1289,1.0476
SE,1.0000,1,T1,20260523,1994,6374.6483,70689.3512,84401.7930,0.8601,44.8244,100.0000,11.2049,11.1552,72.4769,120.1289,1.0476
SE,1.0000,1,T1,20260524,1994,6374.6483,70689.3512,84401.7930,0.8601,44.8244,100.0000,11.2049,11.1552,72.4769,120.1289,1.0476
SE,1.0000,2,T2,20260517,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,2,T2,20260518,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,2,T2,20260519,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,2,T2,20260520,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,2,T2,20260521,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,2,T2,20260522,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,2,T2,20260523,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,2,T2,20260524,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,3,T3,20260517,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,0.5808
SE,1.0000,3,T3,20260518,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,0.5808
SE,1.0000,3,T3,20260519,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,0.5808
SE,1.0000,3,T3,20260520,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,0.5808
SE,1.0000,3,T3,20260521,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,0.5808
SE,1.0000,3,T3,20260522,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,0.5808
SE,1.0000,3,T3,20260523,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,0.5808
SE,1.0000,3,T3,20260524,1994,6378.2154,70860.3519,85575.3994,0.8621,44.3575,100.0000,11.3275,15.4610,172.6894,457.1975,0.5808
SE,1.0000,4,T4,20260517,1994,6378.2154,70552.4961,84025.6006,0.8584,45.4509,100.0000,11.3153,15.2012,167.5619,424.2234,1.6741
SE,1.0000,4,T4,20260518,1994,6378.2154,70552.4961,84025.6006,0.8584,45.4509,100.0000,11.3153,15.2012,167.5619,424.2234,1.6741
SE,1.0000,4,T4,20260519,1994,6378.2154,70552.4961,84025.6006,0.8584,45.4509,100.0000,11.3153,15.2012,167.5619,424.2234,1.6741
SE,1.0000,4,T4,20260520,1994,6378.2154,70552.4961,84025.6006,0.8584,45.4509,100.0000,11.3153,15.2012,167.5619,424.2234,1.6741
SE,1.0000,4,T4,20260521,1994,6378.2154,70552.4961,84025.6006,0.8584,45.4509,100.0000,11.3153,15.2012,167.5619,424.2234,1.6741
SE,1.0000,4,T4,20260522,1994,6378.2154,70552.4961,84025.6006,0.8584,45.4509,100.0000,11.3153,15.2012,167.5619,424.2234,1.6741
SE,1.0000,4,T4,20260523,1994,6378.2154,70552.4961,84025.6006,0.8584,45.4509,100.0000,11.3153,15.2012,167.5619,424.2234,1.6741
SE,1.0000,4,T4,20260524,1994,6378.2154,70552.4961,84025.6006,0.8584,45.4509,100.0000,11.3153,15.2012,167.5619,424.2234,1.6741
