country,mw,layer,seed,nodes,n_completed,n_truncated,energy_kwh,ci_weighted_mean,cfe_canonical_pct,co2_g_it,co2_g_facility,source,_wall_s,v1_n_jobs,d_cfe_vs_fcfs_pp,d_ci_vs_fcfs_g,d_cfe_vs_easy_fcfs_pp,d_ci_vs_easy_fcfs_g,d_cfe_vs_saf_pp,d_ci_vs_saf_g,d_cfe_vs_replay_pp,d_ci_vs_replay_g
CH,1,easy_fcfs,0,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,easy_fcfs,1,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,easy_fcfs,2,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,easy_fcfs,3,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,easy_fcfs,4,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,easy_fcfs,5,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,easy_fcfs,6,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,easy_fcfs,7,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,fcfs,0,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,fcfs,1,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,fcfs,2,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,fcfs,3,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,fcfs,4,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,fcfs,5,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,1,fcfs,6,667,20000.0000,0.0000,259.4721,33.2949,95.8381,8639.1062,10366.9275,v2_scheduler,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
