hyper,value,energy_kwh,ci_weighted_mean,cfe_canonical_pct,cfe_pct,cfe_abs_pct,p95_slowdown,d_cfe_vs_default_pp
alpha_scale,0.5000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
alpha_scale,1.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
alpha_scale,2.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
alpha_scale,4.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
short_job_s,1.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
short_job_s,60.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
short_job_s,300.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
t4_envelope_scale,1.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
t4_envelope_scale,2.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
window_scale,0.5000,6897.2635,228.2446,71.4694,39.0555,50.0000,1628.1167,-0.1679
window_scale,1.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
window_scale,2.0000,7101.4792,226.9016,71.6373,39.1688,50.0000,1680.6167,0.0000
