country,mw,tier,seed,nodes,energy_kwh,ci_weighted_mean,cfe_canonical_pct,cfe_pct,cfe_abs_pct,co2_g_facility,p50_slowdown,p95_slowdown
CH,1,0,0,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,1,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,2,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,3,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,4,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,5,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,6,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,7,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,1,0,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,1,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,2,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,3,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,4,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,5,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,6,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,7,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,2,0,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,1,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,2,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,3,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,4,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
